strain	accession	clade	description	original_date	date	date_precision
JX188454.1	JX188454.1	G2b	Porcine epidemic diarrhea virus strain AJ1102, complete genome	May-2011	2011-05-15	month
JX489155.1	JX489155.1	G2b	Porcine epidemic diarrhea virus strain LC, complete genome	Feb-2011	2011-02-15	month
JX647847.1	JX647847.1	G2b	Porcine epidemic diarrhea virus strain GD-1, complete genome	Dec-2011	2011-12-15	month
KC787536.1	KC787536.1	G2b	Porcine epidemic diarrhea virus isolate CH-CCC-01-2013 spike protein gene, partial cds	2013	2013-07-01	year
KF384500.1	KF384500.1	G2b	Porcine epidemic diarrhea virus strain CH/GDGZ/2012, complete genome	Mar-2012	2012-03-15	month
KM609204.1	KM609204.1	G2b	Porcine epidemic diarrhea virus strain PEDV-7C, complete genome	Jun-2011	2011-06-15	month
KP399607.1	KP399607.1	G2b	Porcine epidemic diarrhea virus strain CH-SCC-05-2014 S protein (S) gene, complete cds	May-2014	2014-05-15	month
KP399616.1	KP399616.1	G2b	Porcine epidemic diarrhea virus strain CH-TPC-03-2013 S protein (S) gene, complete cds	Mar-2013	2013-03-15	month
KP399619.1	KP399619.1	G2b	Porcine epidemic diarrhea virus strain CH-SHC-12-2013 S protein (S) gene, complete cds	Dec-2013	2013-12-15	month
KP399621.1	KP399621.1	G2b	Porcine epidemic diarrhea virus strain CH-QTC-11-2013 S protein (S) gene, complete cds	Nov-2013	2013-11-15	month
KP399624.1	KP399624.1	G2b	Porcine epidemic diarrhea virus strain CH-HGCP-12-2013 S protein (S) gene, complete cds	Dec-2013	2013-12-15	month
KP399628.1	KP399628.1	G2b	Porcine epidemic diarrhea virus strain CH-CCC-05-2013 S protein (S) gene, complete cds	May-2013	2013-05-15	month
KP698767.1	KP698767.1	G2b	Porcine epidemic diarrhea virus isolate GD17 spike gene, complete cds	2014	2014-07-01	year
KP765609.1	KP765609.1	G2b	Porcine epidemic diarrhea virus strain FL2013, complete genome	Jul-2013	2013-07-15	month
KP870115.1	KP870115.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-03/2012 spike protein (S) gene, complete cds	Oct-2012	2012-10-15	month
KP870119.1	KP870119.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-07/2012 spike protein (S) gene, complete cds	Dec-2012	2012-12-15	month
KP870129.1	KP870129.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-19/2013 spike protein (S) gene, complete cds	Dec-2013	2013-12-15	month
KP870130.1	KP870130.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-20/2013 spike protein (S) gene, complete cds	Jan-2013	2013-01-15	month
KP870139.1	KP870139.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-29/2014 spike protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KT989354.1	KT989354.1	G2b	Porcine epidemic diarrhea virus isolate CH-HNKF-14.7 spike protein gene, complete cds	2015	2015-07-01	year
KT989357.1	KT989357.1	G2b	Porcine epidemic diarrhea virus isolate CH-HNLY-15.4 spike protein gene, complete cds	2015	2015-07-01	year
KU646831.1	KU646831.1	G2b	Porcine epidemic diarrhea virus isolate AH2012/12, complete genome	2012	2012-07-01	year
KY775035.1	KY775035.1	G2b	Porcine epidemic diarrhea virus isolate HBJM1 spike protein (S) gene, complete cds	Oct-2016	2016-10-15	month
KY775036.1	KY775036.1	G2b	Porcine epidemic diarrhea virus isolate HBJM2 spike protein (S) gene, complete cds	Oct-2016	2016-10-15	month
MG132637.1	MG132637.1	G2b	Porcine epidemic diarrhea virus isolate HB160123 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132638.1	MG132638.1	G2b	Porcine epidemic diarrhea virus isolate HB160134 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132639.1	MG132639.1	G2b	Porcine epidemic diarrhea virus isolate HB160135 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG198632.1	MG198632.1	G2b	Porcine epidemic diarrhea virus isolate JSNJ1602 spike protein gene, complete cds	Feb-2016	2016-02-15	month
MG334004.1	MG334004.1	G2b	Porcine epidemic diarrhea virus isolate YnP3 spike glycoprotein (S) gene, complete cds	Apr-2016	2016-04-15	month
MK392335.1	MK392335.1	G2b	Porcine epidemic diarrhea virus isolate LW/L, complete genome	Feb-2010	2010-02-15	month
MK584552.1	MK584552.1	G2b	Porcine epidemic diarrhea virus strain AJ1102(F12), complete genome	May-2011	2011-05-15	month
MW145530.1	MW145530.1	G2b	Porcine epidemic diarrhea virus strain CH/SCMY-2/2019 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW145533.1	MW145533.1	G2b	Porcine epidemic diarrhea virus strain CH/SCZY-2/2020 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW386982.1	MW386982.1	G2b	Porcine epidemic diarrhea virus isolate JX2020, complete genome	Dec-2020	2020-12-15	month
MZ161006.1	MZ161006.1	G2b	Porcine epidemic diarrhea virus strain CH/JSSZ/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161014.1	MZ161014.1	G2b	Porcine epidemic diarrhea virus strain CH/GDYD/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161018.1	MZ161018.1	G2b	Porcine epidemic diarrhea virus strain CH/HBXT/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161022.1	MZ161022.1	G2b	Porcine epidemic diarrhea virus strain CH/HNXX/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161023.1	MZ161023.1	G2b	Porcine epidemic diarrhea virus strain CH/GXDX/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161024.1	MZ161024.1	G2b	Porcine epidemic diarrhea virus strain CH/HBBX/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161025.1	MZ161025.1	G2b	Porcine epidemic diarrhea virus strain CH/HBSZ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161029.1	MZ161029.1	G2b	Porcine epidemic diarrhea virus strain CH/HBHS/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161030.1	MZ161030.1	G2b	Porcine epidemic diarrhea virus strain CH/AHBZ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161032.1	MZ161032.1	G2b	Porcine epidemic diarrhea virus strain CH/JSSQ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161033.1	MZ161033.1	G2b	Porcine epidemic diarrhea virus strain CH/JSJH/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161034.1	MZ161034.1	G2b	Porcine epidemic diarrhea virus strain CH/SCPZ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161035.1	MZ161035.1	G2b	Porcine epidemic diarrhea virus strain CH/AHLA/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161036.1	MZ161036.1	G2b	Porcine epidemic diarrhea virus strain CH/SCLZ/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161037.1	MZ161037.1	G2b	Porcine epidemic diarrhea virus strain CH/SCCN/08/2020 spike protein (S) gene, complete cds	Aug-2020	2020-08-15	month
MZ161041.1	MZ161041.1	G2b	Porcine epidemic diarrhea virus strain CH/JXPY/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ161046.1	MZ161046.1	G2b	Porcine epidemic diarrhea virus strain CH/SCMY/06/2020 spike protein (S) gene, complete cds	Jun-2020	2020-06-15	month
MZ161059.1	MZ161059.1	G2b	Porcine epidemic diarrhea virus strain CH/HNLY/03/2020 spike protein (S) gene, complete cds	Mar-2020	2020-03-15	month
MZ161078.1	MZ161078.1	G2b	Porcine epidemic diarrhea virus strain CH/SCYT/05/2020 spike protein (S) gene, complete cds	May-2020	2020-05-15	month
MZ604716.1	MZ604716.1	G2b	Porcine epidemic diarrhea virus strain YN17, complete genome	2016-10-20	2016-10-20	day
OM201218.1	OM201218.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/JL89 spike protein gene, complete cds	2018	2018-07-01	year
ON248872.1	ON248872.1	G2b	Porcine epidemic diarrhea virus strain PEDV/CN/Anhui/Sinder202109-1 spike protein gene, complete cds	Sep-2021	2021-09-15	month
ON262797.1	ON262797.1	G2b	Porcine epidemic diarrhea virus strain AH2012/12-P102, complete genome	2012	2012-07-01	year
ON571549.1	ON571549.1	G2b	Porcine epidemic diarrhea virus isolate JS2021, complete genome	Aug-2021	2021-08-15	month
OP171888.1	OP171888.1	G2b	Porcine epidemic diarrhea virus isolate FJLY02-2017 spike protein (S) gene, complete cds	Jul-2017	2017-07-15	month
OP171891.1	OP171891.1	G2b	Porcine epidemic diarrhea virus isolate FJLY03-2016 spike protein (S) gene, complete cds	Dec-2016	2016-12-15	month
OP171892.1	OP171892.1	G2b	Porcine epidemic diarrhea virus isolate FJLY03-2017 spike protein (S) gene, complete cds	Jul-2017	2017-07-15	month
OP287015.1	OP287015.1	G2b	Porcine epidemic diarrhea virus isolate JS-A, complete genome	Dec-2021	2021-12-15	month
OP374021.1	OP374021.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/Guizhou/Sinder202206-2 spike gene, complete cds	Jun-2022	2022-06-15	month
OP894120.1	OP894120.1	G2b	UNVERIFIED: Porcine epidemic diarrhea virus isolate PEDV SD/2020, complete genome	2020	2020-07-01	year
OQ349221.1	OQ349221.1	G2b	Porcine epidemic diarrhea virus isolate JSyj10 spike protein (S) gene, partial cds	2021	2021-07-01	year
OR085298.1	OR085298.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HeNNX12-2022, complete genome	2022-07-01	2022-07-01	day
OR085299.1	OR085299.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-NMCL2-2022, complete genome	2022-12-01	2022-12-01	day
OR085300.1	OR085300.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-NMBB1-2023, complete genome	2023-02-20	2023-02-20	day
OR085309.1	OR085309.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF4-2022, complete genome	2022-12-01	2022-12-01	day
OR085310.1	OR085310.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF3-2022, complete genome	2022-12-01	2022-12-01	day
OR085311.1	OR085311.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF2-2022, complete genome	2022-12-01	2022-12-01	day
OR576821.1	OR576821.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD441/2022 spike protein (S) gene, complete cds	Jun-2022	2022-06-15	month
PP580808.1	PP580808.1	G2b	Porcine epidemic diarrhea virus isolate AH-FY2022 spike protein (S) gene, complete cds	2022	2022-07-01	year
PP580811.1	PP580811.1	G2b	Porcine epidemic diarrhea virus isolate SD-TA2022 spike protein (S) gene, complete cds	2022	2022-07-01	year
PP580813.1	PP580813.1	G2b	Porcine epidemic diarrhea virus isolate GD-GZ2020-10 spike protein (S) gene, complete cds	2020	2020-07-01	year
PP723328.1	PP723328.1	G2b	Porcine epidemic diarrhea virus isolate CH/Guangdong-S/2022 spike protein (S) gene, complete cds	Nov-2022	2022-11-15	month
PP901935.1	PP901935.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CN/JLTH spike protein (S) gene, partial cds	Jan-2023	2023-01-15	month
PQ284571.1	PQ284571.1	G2b	Porcine epidemic diarrhea virus isolate CH-SX1-2023 spike protein (S) gene, complete cds	2023	2023-07-01	year
PQ284572.1	PQ284572.1	G2b	Porcine epidemic diarrhea virus isolate CH-SX2-2023 spike protein (S) gene, complete cds	2023	2023-07-01	year
PV036769.1	PV036769.1	G2b	Porcine epidemic diarrhea virus isolate HLJ5, complete genome	2024	2024-07-01	year
PV146395.1	PV146395.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW34/2023 S protein (S) gene, partial cds	2023	2023-07-01	year
PV146397.1	PV146397.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW36/2023 S protein (S) gene, partial cds	2023	2023-07-01	year
PV523941.1	PV523941.1	G2b	Porcine epidemic diarrhea virus isolate AH02-04-CN_2024 spike protein (S) gene, complete cds	Apr-2024	2024-04-15	month
PV523942.1	PV523942.1	G2b	Porcine epidemic diarrhea virus isolate GX03-05-CN_2024 spike protein (S) gene, complete cds	May-2024	2024-05-15	month
PV609800.1	PV609800.1	G2b	Porcine epidemic diarrhea virus isolate PEDV LZ2401 spike protein (S) gene, partial cds	2024	2024-07-01	year
PV614330.1	PV614330.1	G2b	Porcine epidemic diarrhea virus isolate SN2401 spike protein (S) gene, partial cds	2024	2024-07-01	year
PV641626.1	PV641626.1	G2b	Porcine epidemic diarrhea virus isolate PEDV ZY2402 spike protein (S) gene, partial cds	2024	2024-07-01	year
PV641632.1	PV641632.1	G2b	Porcine epidemic diarrhea virus isolate PEDV CD2404 spike protein (S) gene, complete cds	2024	2024-07-01	year
PV695983.1	PV695983.1	G2b	Porcine epidemic diarrhea virus isolate HB-2024, complete genome	2024	2024-07-01	year
PV844369.1	PV844369.1	G2b	Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds	Sep-2023	2023-09-15	month
PV844370.1	PV844370.1	G2b	Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds	Sep-2024	2024-09-15	month
PX229706.1	PX229706.1	G2b	Porcine epidemic diarrhea virus isolate JS-CZYZ202201 spike protein gene, partial cds	2021	2021-07-01	year
PX482649.1	PX482649.1	G2b	Porcine epidemic diarrhea virus isolate CH-SWM-LS, complete genome	Mar-2025	2025-03-15	month
PX652413.1	PX652413.1	G2b	Porcine epidemic diarrhea virus strain P2C spike protein (S) gene, complete cds	Jan-2025	2025-01-15	month
KM609206.1	KM609206.1	G2c	Porcine epidemic diarrhea virus strain PEDV-10F, complete genome	Jan-2012	2012-01-15	month
KM609212.1	KM609212.1	G2c	Porcine epidemic diarrhea virus strain PEDV-LYG, complete genome	Mar-2014	2014-03-15	month
KM609213.1	KM609213.1	G2c	Porcine epidemic diarrhea virus strain PEDV-WS, complete genome	Mar-2014	2014-03-15	month
KR296667.1	KR296667.1	G2c	Porcine epidemic diarrhea virus strain CH-HGC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR296670.1	KR296670.1	G2c	Porcine epidemic diarrhea virus strain CH-QTC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR296683.1	KR296683.1	G2c	Porcine epidemic diarrhea virus strain CH-CLC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KT428879.1	KT428879.1	G2c	Porcine epidemic diarrhea virus strain YC2014 spike protein (S) gene, complete cds	May-2014	2014-05-15	month
KT989356.1	KT989356.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNKF-15.1 spike protein gene, complete cds	2015	2015-07-01	year
KT989362.1	KT989362.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNHB-15.3 spike protein gene, complete cds	2015	2015-07-01	year
KT989363.1	KT989363.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNHB-14.11 spike protein gene, complete cds	2015	2015-07-01	year
KU556276.1	KU556276.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate HF-90 S protein-like gene, partial sequence	2015	2015-07-01	year
KU556277.1	KU556277.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate HF-91 S protein-like gene, partial sequence	2015	2015-07-01	year
KU556278.1	KU556278.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY1-27 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556279.1	KU556279.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-39 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556280.1	KU556280.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-46 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556281.1	KU556281.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-51 S protein-like gene, partial sequence	2015	2015-07-01	year
KU556286.1	KU556286.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY4-98 S protein-like gene, partial sequence	2015	2015-07-01	year
KU556287.1	KU556287.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-60 S protein-like gene, complete sequence	2015	2015-07-01	year
KX073609.1	KX073609.1	G2c	Porcine epidemic diarrhea virus isolate GZKY S protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KY679906.1	KY679906.1	G2c	Porcine epidemic diarrhea virus isolate SDSX16 S protein (S) gene, complete cds	Mar-2016	2016-03-15	month
KY775038.1	KY775038.1	G2c	Porcine epidemic diarrhea virus isolate BHJZ1 spike protein (S) gene, complete cds	Mar-2016	2016-03-15	month
KY775040.1	KY775040.1	G2c	Porcine epidemic diarrhea virus isolate HBXY1 spike protein (S) gene, complete cds	Feb-2016	2016-02-15	month
KY775041.1	KY775041.1	G2c	Porcine epidemic diarrhea virus isolate HBXY2 spike protein (S) gene, complete cds	Feb-2016	2016-02-15	month
KY775042.1	KY775042.1	G2c	Porcine epidemic diarrhea virus isolate HBXY3 spike protein (S) gene, complete cds	Mar-2016	2016-03-15	month
KY775045.1	KY775045.1	G2c	Porcine epidemic diarrhea virus isolate HBHG1 spike protein (S) gene, complete cds	Feb-2016	2016-02-15	month
KY775046.1	KY775046.1	G2c	Porcine epidemic diarrhea virus isolate HBHG2 spike protein (S) gene, complete cds	Feb-2016	2016-02-15	month
KY775047.1	KY775047.1	G2c	Porcine epidemic diarrhea virus isolate HBHG3 spike protein (S) gene, complete cds	Aug-2016	2016-08-15	month
KY775048.1	KY775048.1	G2c	Porcine epidemic diarrhea virus isolate HBHG4 spike protein (S) gene, complete cds	Aug-2016	2016-08-15	month
KY775050.1	KY775050.1	G2c	Porcine epidemic diarrhea virus isolate HBHG5 spike protein (S) gene, complete cds	Aug-2016	2016-08-15	month
KY928065.1	KY928065.1	G2c	Porcine epidemic diarrhea virus isolate CH_hubei_2016, complete genome	Mar-2016	2016-03-15	month
MF152596.1	MF152596.1	G2c	Porcine epidemic diarrhea virus strain CH/HNXJ/2016 spike protein gene, complete cds	2017	2017-07-01	year
MF152597.1	MF152597.1	G2c	Porcine epidemic diarrhea virus strain CH/HN7/2016 spike protein gene, complete cds	2016	2016-07-01	year
MF152599.1	MF152599.1	G2c	Porcine epidemic diarrhea virus strain CH/HNXY/2016 spike protein gene, complete cds	2016	2016-07-01	year
MF152602.1	MF152602.1	G2c	Porcine epidemic diarrhea virus strain CH/XJKT/2016 spike protein gene, complete cds	2016	2016-07-01	year
MF152603.1	MF152603.1	G2c	Porcine epidemic diarrhea virus strain CH/HNLB/2017 spike protein gene, complete cds	2017	2017-07-01	year
MF152604.1	MF152604.1	G2c	Porcine epidemic diarrhea virus strain CH/HNPJ/2017 spike protein gene, complete cds	2017	2017-07-01	year
MF346935.1	MF346935.1	G2c	Porcine epidemic diarrhea virus isolate CH/JLDH/2016, complete genome	Jul-2016	2016-07-15	month
MG198637.1	MG198637.1	G2c	Porcine epidemic diarrhea virus isolate JSYC1601 spike protein gene, complete cds	Jan-2016	2016-01-15	month
MG198644.1	MG198644.1	G2c	Porcine epidemic diarrhea virus isolate JSDT1505 spike protein gene, complete cds	May-2015	2015-05-15	month
MG198646.1	MG198646.1	G2c	Porcine epidemic diarrhea virus isolate JSHA1602 spike protein gene, complete cds	Feb-2016	2016-02-15	month
MG198650.1	MG198650.1	G2c	Porcine epidemic diarrhea virus isolate JSPZ1412 spike protein gene, complete cds	Dec-2014	2014-12-15	month
MG198652.1	MG198652.1	G2c	Porcine epidemic diarrhea virus isolate JSSH1506 spike protein gene, complete cds	Jun-2015	2015-06-15	month
MG198653.1	MG198653.1	G2c	Porcine epidemic diarrhea virus isolate JSSH1603 spike protein gene, complete cds	Mar-2016	2016-03-15	month
MG198657.1	MG198657.1	G2c	Porcine epidemic diarrhea virus isolate JSSQ1507 spike protein gene, complete cds	Jul-2015	2015-07-15	month
MG198658.1	MG198658.1	G2c	Porcine epidemic diarrhea virus isolate JSSQ1508 spike protein gene, complete cds	Aug-2015	2015-08-15	month
MG198661.1	MG198661.1	G2c	Porcine epidemic diarrhea virus isolate JSSQLH15 spike protein gene, complete cds	2015	2015-07-01	year
MG198662.1	MG198662.1	G2c	Porcine epidemic diarrhea virus isolate JSSY1505 spike protein gene, complete cds	May-2015	2015-05-15	month
MG198663.1	MG198663.1	G2c	Porcine epidemic diarrhea virus isolate JSSY1603 spike protein gene, complete cds	Mar-2016	2016-03-15	month
MG198666.1	MG198666.1	G2c	Porcine epidemic diarrhea virus isolate JSTZ1505 spike protein gene, complete cds	May-2015	2015-05-15	month
MG198667.1	MG198667.1	G2c	Porcine epidemic diarrhea virus isolate JSYZ1511 spike protein gene, complete cds	Nov-2015	2015-11-15	month
MG198670.1	MG198670.1	G2c	Porcine epidemic diarrhea virus isolate SHHC2016 spike protein gene, complete cds	2016	2016-07-01	year
MG334002.1	MG334002.1	G2c	Porcine epidemic diarrhea virus isolate YnP1 spike glycoprotein (S) gene, complete cds	Mar-2016	2016-03-15	month
MG334003.1	MG334003.1	G2c	Porcine epidemic diarrhea virus isolate YnP2 spike glycoprotein (S) gene, complete cds	Mar-2016	2016-03-15	month
MG334007.1	MG334007.1	G2c	Porcine epidemic diarrhea virus isolate YnP6 spike glycoprotein (S) gene, complete cds	Dec-2016	2016-12-15	month
MG334008.1	MG334008.1	G2c	Porcine epidemic diarrhea virus isolate YnP7 spike glycoprotein (S) gene, complete cds	Mar-2017	2017-03-15	month
MG334009.1	MG334009.1	G2c	Porcine epidemic diarrhea virus isolate YnP8 spike glycoprotein (S) gene, complete cds	Apr-2017	2017-04-15	month
MG334010.1	MG334010.1	G2c	Porcine epidemic diarrhea virus isolate YnP9 spike glycoprotein (S) gene, complete cds	Apr-2017	2017-04-15	month
MG546688.1	MG546688.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain CH/BJ2/2016 genomic sequence	Feb-2016	2016-02-15	month
MG546690.1	MG546690.1	G2c	Porcine epidemic diarrhea virus strain CH/BJ11/2016, complete genome	Nov-2016	2016-11-15	month
MH003891.1	MH003891.1	G2c	Porcine epidemic diarrhea virus strain HM2017 spike protein (S) gene, complete cds	Sep-2017	2017-09-15	month
MH816969.1	MH816969.1	G2c	Porcine epidemic diarrhea virus strain CH/HBXT/2018 spike glycoprotein gene, complete cds	Mar-2018	2018-03-15	month
MH893764.1	MH893764.1	G2c	Porcine epidemic diarrhea virus isolate HB2016-1 spike protein (S) gene, complete cds	2016	2016-07-01	year
MK111633.1	MK111633.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNAY/2016 spike protein gene, complete cds	Oct-2016	2016-10-15	month
MK138353.1	MK138353.1	G2c	Porcine epidemic diarrhea virus strain G2, complete genome	2016	2016-07-01	year
MK140814.1	MK140814.1	G2c	Porcine epidemic diarrhea virus isolate CH/TP-4-4/2018, complete genome	2018	2018-07-01	year
MK250953.1	MK250953.1	G2c	Porcine epidemic diarrhea virus strain ZJ/ZX2018-C10, complete genome	Feb-2018	2018-02-15	month
MK592415.1	MK592415.1	G2c	Porcine epidemic diarrhea virus isolate SWUN19/CH/SCZY/2018 spike protein (S) gene, complete cds	2018	2018-07-01	year
MK592416.1	MK592416.1	G2c	Porcine epidemic diarrhea virus isolate SWUN2/CH/SCXC/2018 spike protein (S) gene, complete cds	2018	2018-07-01	year
MK598819.1	MK598819.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCZY/2018 spike protein (S) gene, complete cds	2018	2018-07-01	year
MK598820.1	MK598820.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds	2018	2018-07-01	year
MK598821.1	MK598821.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds	2018	2018-07-01	year
MK685665.1	MK685665.1	G2c	Porcine epidemic diarrhea virus isolate CH-SCNJ-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK690502.1	MK690502.1	G2c	Porcine epidemic diarrhea virus isolate HM2017, complete genome	Mar-2016	2016-03-15	month
MK702008.1	MK702008.1	G2c	Porcine epidemic diarrhea virus isolate SNJ-P, complete genome	Oct-2018	2018-10-15	month
MK726310.1	MK726310.1	G2c	Porcine epidemic diarrhea virus strain CH/HNZK/201709 spike protein gene, complete cds	Sep-2017	2017-09-15	month
MK820037.1	MK820037.1	G2c	Porcine epidemic diarrhea virus isolate swun-18-CH-SCLS-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK820038.1	MK820038.1	G2c	Porcine epidemic diarrhea virus isolate swun-3CH-CH-SCZG-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK820039.1	MK820039.1	G2c	Porcine epidemic diarrhea virus isolate swun-MY-CH-SCMY-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK820040.1	MK820040.1	G2c	Porcine epidemic diarrhea virus isolate swun-H1-CH-SCYA-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK820041.1	MK820041.1	G2c	Porcine epidemic diarrhea virus isolate swun-Y1-CH-SCCQ-2019 spike protein (S) gene, complete cds	Mar-2019	2019-03-15	month
MK862249.1	MK862249.1	G2c	Porcine epidemic diarrhea virus strain HeN170821, complete genome	Aug-2017	2017-08-15	month
MN161584.1	MN161584.1	G2c	Porcine epidemic diarrhea virus strain SWUN-C6-CH-SCYA-2019 spike protein (S) gene, complete cds	Apr-2019	2019-04-15	month
MN213154.1	MN213154.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXM/2019 spike protein gene, complete cds	Jan-2019	2019-01-15	month
MN412557.1	MN412557.1	G2c	Porcine epidemic diarrhea virus strain HN-JY/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412567.1	MN412567.1	G2c	Porcine epidemic diarrhea virus strain HN-KF/2017 S protein (S) gene, complete cds	2017	2017-07-01	year
MN412570.1	MN412570.1	G2c	Porcine epidemic diarrhea virus strain HN-XZ/2017 S protein (S) gene, complete cds	2017	2017-07-01	year
MN412571.1	MN412571.1	G2c	Porcine epidemic diarrhea virus strain SX-TY1/2017 S protein (S) gene, complete cds	2017	2017-07-01	year
MN412572.1	MN412572.1	G2c	Porcine epidemic diarrhea virus strain SX-TY2/2017 S protein (S) gene, complete cds	2017	2017-07-01	year
MN412574.1	MN412574.1	G2c	Porcine epidemic diarrhea virus strain SX-WS2/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN841671.1	MN841671.1	G2c	Porcine epidemic diarrhea virus strain SHXX1902, complete genome	Feb-2019	2019-02-15	month
MT090137.1	MT090137.1	G2c	Porcine epidemic diarrhea virus strain HN/HX/2019 spike protein (S) gene, complete cds	2019	2019-07-01	year
MT090140.1	MT090140.1	G2c	Porcine epidemic diarrhea virus strain SX/YC/2019 spike protein (S) gene, complete cds	2019	2019-07-01	year
MT090146.1	MT090146.1	G2c	Porcine epidemic diarrhea virus strain CH/SXWS/2018, complete genome	2018	2018-07-01	year
MT166307.1	MT166307.1	G2c	Porcine epidemic diarrhea virus strain HB2018, complete genome	May-2018	2018-05-15	month
MT294128.1	MT294128.1	G2c	Porcine epidemic diarrhea virus isolate HBGJ-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT294129.1	MT294129.1	G2c	Porcine epidemic diarrhea virus isolate HLJYTX-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT294131.1	MT294131.1	G2c	Porcine epidemic diarrhea virus isolate JSCF-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
