PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
KY775048.1 Porcine epidemic diarrhea virus isolate HBHG4 spike protein (S) gene, complete cds
KY775050.1 Porcine epidemic diarrhea virus isolate HBHG5 spike protein (S) gene, complete cds
MW143083.1 Porcine epidemic diarrhea virus isolate JSS04, complete genome
MZ364310.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/1401/2016, complete genome
MF152596.1 Porcine epidemic diarrhea virus strain CH/HNXJ/2016 spike protein gene, complete cds
MF152602.1 Porcine epidemic diarrhea virus strain CH/XJKT/2016 spike protein gene, complete cds
MN368687.1 Porcine epidemic diarrhea virus isolate GDjm16-1 spike protein (S) gene, complete cds
PP395577.1 Porcine epidemic diarrhea virus strain SC2021BZ spike protein (S) gene, complete cds
ON417001.1 Porcine epidemic diarrhea virus isolate JS2019-2 spike protein gene, complete cds
OR992088.1 Porcine epidemic diarrhea virus isolate CH/FST-H/2017 spike protein (S) gene, complete cds
MN368722.1 Porcine epidemic diarrhea virus isolate GDsg18-2 spike protein (S) gene, complete cds
MH726406.1 Porcine epidemic diarrhea virus isolate GDS49, complete genome
MH726407.1 Porcine epidemic diarrhea virus isolate GDS52, complete genome
OQ269588.1 Porcine epidemic diarrhea virus isolate XJ1904-700, complete genome
MN412567.1 Porcine epidemic diarrhea virus strain HN-KF/2017 S protein (S) gene, complete cds
MN412570.1 Porcine epidemic diarrhea virus strain HN-XZ/2017 S protein (S) gene, complete cds
MH991837.1 Porcine epidemic diarrhea virus strain M3-SX2017 S protein (S) gene, complete cds
MK644603.1 Porcine epidemic diarrhea virus isolate M3-SX2017, complete genome
MK532998.1 Porcine epidemic diarrhea virus strain M11-SX2017 spike protein (S) gene, complete cds
MK533001.1 Porcine epidemic diarrhea virus strain M16-SX2017 spike protein (S) gene, complete cds
MK532999.1 Porcine epidemic diarrhea virus strain M12-SX2017 spike protein (S) gene, complete cds
MK533000.1 Porcine epidemic diarrhea virus strain M13-SX2017 spike protein (S) gene, complete cds
MG020543.1 Porcine epidemic diarrhea virus isolate CH-HBMC-2-2016 spike protein (S) gene, complete cds
MG020546.1 Porcine epidemic diarrhea virus isolate CH-JSZJ-2-2016 spike protein (S) gene, complete cds
MK820038.1 Porcine epidemic diarrhea virus isolate swun-3CH-CH-SCZG-2019 spike protein (S) gene, complete cds
MZ570143.1 Porcine epidemic diarrhea virus isolate CH/HNSMX-01/2020 spike protein (S) gene, complete cds
OM863585.1 Porcine epidemic diarrhea virus isolate CH_SCZY01_2020 spike protein (S) gene, complete cds
MZ161049.1 Porcine epidemic diarrhea virus strain CH/SCPL/05/2020 spike protein (S) gene, complete cds
PQ349477.1 Porcine epidemic diarrhea virus isolate HN-YZ spike protein gene, complete cds
MZ161040.1 Porcine epidemic diarrhea virus strain CH/GXLA/07/2020 spike protein (S) gene, complete cds
OR567507.1 Porcine epidemic diarrhea virus isolate CHN/JX-202202 spike protein gene, complete cds
MT683907.1 Porcine epidemic diarrhea virus isolate CH/SCYA-1/2019 spike protein gene, complete cds
MT683908.1 Porcine epidemic diarrhea virus isolate CH/SCYA-2/2019 spike protein gene, complete cds
MH991861.1 Porcine epidemic diarrhea virus strain Y17-ZJ2018 S protein (S) gene, complete cds
PP923940.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-BS-1912/China/2019/Yunnan spike protein-like gene, partial sequence
PX229693.1 Porcine epidemic diarrhea virus isolate JS-SQMV202108 spike protein gene, complete cds
PX229701.1 Porcine epidemic diarrhea virus isolate JS-SQBQ202109 spike protein gene, complete cds
OM948908.1 Porcine epidemic diarrhea virus isolate CH_GXNN_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN368703.1 Porcine epidemic diarrhea virus isolate GDjm17-3 spike protein (S) gene, complete cds
MZ669834.1 Porcine epidemic diarrhea virus strain CH-GXNN-1-2018 spike protein gene, complete cds
MZ669835.1 Porcine epidemic diarrhea virus strain CH-GXNN-2-2018 spike protein gene, partial cds
MZ669842.1 Porcine epidemic diarrhea virus strain CH-GXLZ-2-2018 spike protein gene, partial cds
MZ669841.1 Porcine epidemic diarrhea virus strain CH-GXLZ-1-2017 spike protein gene, partial cds
MZ669843.1 Porcine epidemic diarrhea virus strain CH-GXLZ-3-2018 spike protein gene, partial cds
MW413556.1 Porcine epidemic diarrhea virus strain HB/HEBEU/2020, complete genome
MZ570142.1 Porcine epidemic diarrhea virus isolate CH/HNXC-02/2020 spike protein (S) gene, complete cds
PP395590.1 Porcine epidemic diarrhea virus strain SC2022NC spike protein (S) gene, complete cds
MW478769.1 Porcine epidemic diarrhea virus isolate GDsg10 spike protein (S) gene, complete cds
MH593149.1 Porcine epidemic diarrhea virus isolate CH/SCYA/2018 spike protein (S) gene, complete cds
PP580816.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-13 spike protein (S) gene, complete cds
MZ570138.1 Porcine epidemic diarrhea virus isolate CH/HNJZ-01/2020 spike protein (S) gene, complete cds
MZ570140.1 Porcine epidemic diarrhea virus isolate CH/HNLH-02/2020 spike protein (S) gene, complete cds
PV146388.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW27/2022 S protein (S) gene, partial cds
PV146390.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW29/2022 S protein (S) gene, partial cds
PQ316090.1 Porcine epidemic diarrhea virus isolate CH/GDJM2023, complete genome
MK820041.1 Porcine epidemic diarrhea virus isolate swun-Y1-CH-SCCQ-2019 spike protein (S) gene, complete cds
PP580817.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-14 spike protein (S) gene, complete cds
PV523991.1 Porcine epidemic diarrhea virus isolate SD01-07-CN_2021 spike protein (S) gene, complete cds
MZ161052.1 Porcine epidemic diarrhea virus strain CH/JXJJ/04/2020 spike protein (S) gene, complete cds
MW826598.1 Porcine epidemic diarrhea virus isolate XT/2017 spike protein (S) gene, complete cds
OR567506.1 Porcine epidemic diarrhea virus isolate CHN/HuN-202202 spike protein gene, complete cds
MZ161053.1 Porcine epidemic diarrhea virus strain CH/GDCY/04/2020 spike protein (S) gene, complete cds
MW826593.1 Porcine epidemic diarrhea virus isolate FY/2017 spike protein (S) gene, complete cds
OR085249.1 Porcine epidemic diarrhea virus isolate PEDV-GDYJ3-2022, complete genome
OR567508.1 Porcine epidemic diarrhea virus isolate CHN/JX-202203 spike protein gene, complete cds
OR684450.1 Porcine epidemic diarrhea virus strain HN-1/2023, complete genome
PV235413.1 Porcine epidemic diarrhea virus isolate 2024-JXNC spike (S) gene, complete cds
OM505025.1 Porcine epidemic diarrhea virus isolate CHN-SC2021, complete genome
OM948915.1 Porcine epidemic diarrhea virus isolate CH_SCYB01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OM948916.1 Porcine epidemic diarrhea virus isolate CH_SCYB02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MZ161013.1 Porcine epidemic diarrhea virus strain CH/AHBB/12/2020 spike protein (S) gene, complete cds
MZ161077.1 Porcine epidemic diarrhea virus strain CH/SDLY/12/2020 spike protein (S) gene, complete cds
MZ161084.1 Porcine epidemic diarrhea virus strain CH/JSXZLD/10/2020 spike protein (S) gene, complete cds
OQ349219.1 Porcine epidemic diarrhea virus isolate JSyj5 spike protein (S) gene, partial cds
OQ349220.1 Porcine epidemic diarrhea virus isolate JSyj8 spike protein (S) gene, complete cds
MZ161068.1 Porcine epidemic diarrhea virus strain CH/JSXZ/01/2021 spike protein (S) gene, complete cds
OQ349223.1 Porcine epidemic diarrhea virus isolate SDyt12 spike protein (S) gene, complete cds
OP019352.1 Porcine epidemic diarrhea virus isolate PEDV/CH/WF/RZ1/2021 spike protein (S) gene, partial cds
ON248875.1 Porcine epidemic diarrhea virus strain PEDV/CN/Shandong/Sinder202112-2 spike protein gene, complete cds
OM948927.1 Porcine epidemic diarrhea virus isolate CH_CQ_2021 spike protein (S) gene, complete cds
OR085245.1 Porcine epidemic diarrhea virus isolate PEDV-AHBZ16-2022, complete genome
OR085246.1 Porcine epidemic diarrhea virus isolate PEDV-AHBZ35-2022, complete genome
OR085247.1 Porcine epidemic diarrhea virus isolate PEDV-AHBZ1-2022, complete genome
MW398867.1 Porcine epidemic diarrhea virus strain CH/SCNC-1/2020 spike protein gene, complete cds
OQ349218.1 Porcine epidemic diarrhea virus isolate JSdf10 spike protein (S) gene, complete cds
PV523959.1 Porcine epidemic diarrhea virus isolate AH01-03-CN_2022 spike protein (S) gene, complete cds
PV523961.1 Porcine epidemic diarrhea virus isolate AH02-03-CN_2022 spike protein (S) gene, complete cds
OQ122096.1 Porcine epidemic diarrhea virus isolate JXJA/2022 spike protein (S) gene, complete cds
OQ718908.1 Porcine epidemic diarrhea virus isolate CH-HeN29-2023 spike protein (S) gene, complete cds
OQ122093.1 Porcine epidemic diarrhea virus isolate HNXY-1/2022 spike protein (S) gene, complete cds
OQ718907.1 Porcine epidemic diarrhea virus isolate CH-HeN28-2023 spike protein (S) gene, complete cds
OQ122107.1 Porcine epidemic diarrhea virus isolate HBJZ/2022 spike protein (S) gene, complete cds
PV536062.1 Porcine epidemic diarrhea virus isolate PEDV-AHFW5-2023, partial genome
PV536065.1 Porcine epidemic diarrhea virus isolate PEDV-AHHJ19-2023, partial genome
PV536063.1 Porcine epidemic diarrhea virus isolate PEDV-AHHJ13-2023, partial genome
PV536064.1 Porcine epidemic diarrhea virus isolate PEDV-AHHJ17-2023, partial genome
MZ161003.1 Porcine epidemic diarrhea virus strain CH/SCYBZH/12/2020 spike protein (S) gene, complete cds
OQ349228.1 Porcine epidemic diarrhea virus isolate CN/Jiangsu002/2022, complete genome
OR085272.1 Porcine epidemic diarrhea virus isolate PEDV-GDHB1-2023, complete genome
OR085273.1 Porcine epidemic diarrhea virus isolate PEDV-GDHB2-2023, complete genome
OQ718886.1 Porcine epidemic diarrhea virus isolate CH-HeN05-2021 spike protein (S) gene, complete cds
OQ718884.1 Porcine epidemic diarrhea virus isolate CH-HeN03-2021 spike protein (S) gene, complete cds
OQ718885.1 Porcine epidemic diarrhea virus isolate CH-HeN04-2021 spike protein (S) gene, complete cds
OL762459.1 Porcine epidemic diarrhea virus strain PEDV SD2021, complete genome
OL762460.1 Porcine epidemic diarrhea virus strain PEDV JX2020, complete genome
OQ122116.1 Porcine epidemic diarrhea virus isolate SDJN/2021 spike protein (S) gene, complete cds
OQ122089.1 Porcine epidemic diarrhea virus isolate SDLY/2022 spike protein (S) gene, complete cds
OQ122084.1 Porcine epidemic diarrhea virus isolate JSYC/2021 spike protein (S) gene, complete cds
OL361788.1 Porcine epidemic diarrhea virus strain JSXC, complete genome
PP472642.1 Porcine epidemic diarrhea virus isolate JSYC/2021, complete genome
ON988092.1 Porcine epidemic diarrhea virus isolate SDHY_LW spike protein (S) gene, partial cds
ON988090.1 Porcine epidemic diarrhea virus isolate SDHY_TA01 spike protein (S) gene, partial cds
ON988089.1 Porcine epidemic diarrhea virus isolate SDHY_TA02 spike protein (S) gene, partial cds
ON988094.1 Porcine epidemic diarrhea virus isolate SDHY_JN02 spike protein (S) gene, partial cds
PP580818.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-15 spike protein (S) gene, complete cds
PP958821.1 Porcine epidemic diarrhea virus isolate PEDV-SD/2020, complete genome
OP019351.1 Porcine epidemic diarrhea virus isolate PEDV/CH/TS/J/2022 spike protein (S) gene, partial cds
ON248878.1 Porcine epidemic diarrhea virus strain PEDV/CN/Hebei/Sinder202201 spike protein gene, complete cds
PV389919.1 Porcine epidemic diarrhea virus isolate HB2024, partial genome
OR085248.1 Porcine epidemic diarrhea virus isolate PEDV-SDBR1-2022, complete genome
OM948919.1 Porcine epidemic diarrhea virus isolate CH_SCLS03_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
PV614327.1 Porcine epidemic diarrhea virus isolate MS2302 spike protein (S) gene, complete cds
OM948923.1 Porcine epidemic diarrhea virus isolate CH_SCLS02_2021 spike protein (S) gene, complete cds
OM948924.1 Porcine epidemic diarrhea virus isolate CH_SCLS01_2021 spike protein (S) gene, complete cds
OM948926.1 Porcine epidemic diarrhea virus isolate CH_SCLS04_2021 spike protein (S) gene, complete cds
MW145534.1 Porcine epidemic diarrhea virus strain CH/SCMS-2/2020 spike protein (S) gene, complete cds
OQ657294.1 Porcine epidemic diarrhea virus strain HNZK5 spike protein (S) gene, complete cds
OL855981.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX04-2018 sequence
OL855985.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX08-2020 sequence
MZ161020.1 Porcine epidemic diarrhea virus strain CH/SDNW-2/11/2020 spike protein (S) gene, complete cds
MZ570148.1 Porcine epidemic diarrhea virus isolate CH/HNXC-04/2020 spike protein (S) gene, complete cds
ON964511.1 Porcine epidemic diarrhea virus isolate GDGZ-2020, complete genome
PQ507871.1 Porcine epidemic diarrhea virus isolate SC/SN/2023 spike protein gene, complete cds
OL855986.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX09-2021 sequence
OQ718890.1 Porcine epidemic diarrhea virus isolate CH-HeN10-2021 spike protein (S) gene, complete cds
OQ718901.1 Porcine epidemic diarrhea virus isolate CH-HeN21-2022 spike protein (S) gene, complete cds
OQ718909.1 Porcine epidemic diarrhea virus isolate CH-HeN30-2023 spike protein (S) gene, complete cds
OQ718906.1 Porcine epidemic diarrhea virus isolate CH-HeN26-2023 spike protein (S) gene, complete cds
OQ718911.1 Porcine epidemic diarrhea virus isolate CH-HeN32-2023 spike protein (S) gene, complete cds
PP911340.1 Porcine epidemic diarrhea virus isolate CH-SXXY-2024, partial genome
OL855980.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX03-2018 sequence
OL855984.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX07-2020 sequence
OL855987.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX10-2021 sequence
ON988093.1 Porcine epidemic diarrhea virus isolate SDHY_LC spike protein (S) gene, partial cds
MN617859.1 Porcine epidemic diarrhea virus isolate CH/SCCD-2/2018 spike protein (S) gene, complete cds
MN617865.1 Porcine epidemic diarrhea virus isolate CH/SCYB-1/2018 spike protein (S) gene, complete cds
MK820040.1 Porcine epidemic diarrhea virus isolate swun-H1-CH-SCYA-2019 spike protein (S) gene, complete cds
MN617858.1 Porcine epidemic diarrhea virus isolate CH/SCCD-1/2018 spike protein (S) gene, complete cds
MN161584.1 Porcine epidemic diarrhea virus strain SWUN-C6-CH-SCYA-2019 spike protein (S) gene, complete cds
MN617866.1 Porcine epidemic diarrhea virus isolate CH/SCQL-1/2018 spike protein (S) gene, complete cds
MN617860.1 Porcine epidemic diarrhea virus isolate CH/SCMS-1/2018 spike protein (S) gene, complete cds
MN617867.1 Porcine epidemic diarrhea virus isolate CH/SCQL-2/2018 spike protein (S) gene, complete cds
OR123893.1 Porcine epidemic diarrhea virus strain HB2022, complete genome
OR195036.1 Porcine epidemic diarrhea virus strain HB2022-11 spike protein (S) gene, complete cds
OR195030.1 Porcine epidemic diarrhea virus strain HB2022-5 spike protein (S) gene, complete cds
OR195031.1 Porcine epidemic diarrhea virus strain HB2022-6 spike protein (S) gene, complete cds
OR195032.1 Porcine epidemic diarrhea virus strain HB2022-7 spike protein (S) gene, complete cds
OR195033.1 Porcine epidemic diarrhea virus strain HB2022-8 spike protein (S) gene, complete cds
PP580810.1 Porcine epidemic diarrhea virus isolate HN-ZZ2022 spike protein (S) gene, complete cds
PV536101.1 Porcine epidemic diarrhea virus isolate PEDV-JSJL1-2023, partial genome
ON988091.1 Porcine epidemic diarrhea virus isolate SDHY_QD spike protein (S) gene, partial cds
MK533003.1 Porcine epidemic diarrhea virus strain N12-GD2017 spike protein (S) gene, complete cds
MZ161002.1 Porcine epidemic diarrhea virus strain CH/GDSG/12/2020 spike protein (S) gene, complete cds
MZ161004.1 Porcine epidemic diarrhea virus strain CH/GXGG/12/2020 spike protein (S) gene, complete cds
MZ161027.1 Porcine epidemic diarrhea virus strain CH/GXLZ/10/2020 spike protein (S) gene, complete cds
PV164719.1 Porcine epidemic diarrhea virus isolate PEDV JS22SQ0301-02 spike protein (S) gene, complete cds
OQ122117.1 Porcine epidemic diarrhea virus isolate JSSQ/2021 spike protein (S) gene, complete cds
OQ718895.1 Porcine epidemic diarrhea virus isolate CH-HeN15-2022 spike protein (S) gene, complete cds
OQ718896.1 Porcine epidemic diarrhea virus isolate CH-HeN16-2022 spike protein (S) gene, complete cds
OQ504184.1 Porcine epidemic diarrhea virus strain PEDV-07/JS/2022 spike protein (S) gene, complete cds
OQ269590.1 Porcine epidemic diarrhea virus isolate FJFZ2004-1017, complete genome
MZ740470.1 Porcine epidemic diarrhea virus strain CH-HNJY-01 spike protein (S) gene, complete cds
PP580820.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-3 spike protein (S) gene, complete cds
MK820037.1 Porcine epidemic diarrhea virus isolate swun-18-CH-SCLS-2019 spike protein (S) gene, complete cds
MN617862.1 Porcine epidemic diarrhea virus isolate CH/SCMY-1/2018 spike protein (S) gene, complete cds
MK820039.1 Porcine epidemic diarrhea virus isolate swun-MY-CH-SCMY-2019 spike protein (S) gene, complete cds
MZ161058.1 Porcine epidemic diarrhea virus strain CH/SCJS/03/2020 spike protein (S) gene, complete cds
PP906226.1 Porcine epidemic diarrhea virus strain GD-CZ spike protein gene, complete cds
MK656506.1 Porcine epidemic diarrhea virus strain JN1806-28 S protein gene, partial cds
MH593151.1 Porcine epidemic diarrhea virus isolate CH/SCXH/2018 spike protein (S) gene, complete cds
MH991857.1 Porcine epidemic diarrhea virus strain W6-HB2018 S protein (S) gene, complete cds
MH991848.1 Porcine epidemic diarrhea virus strain Q1-AH2017 S protein (S) gene, complete cds
MK533008.1 Porcine epidemic diarrhea virus strain Q2-AH2017 spike protein (S) gene, complete cds
MT294135.1 Porcine epidemic diarrhea virus isolate TJLT-2018 spike glycoprotein (S) gene, complete cds
PX229707.1 Porcine epidemic diarrhea virus isolate JS-CZYG202204 spike protein gene, partial cds
PX229708.1 Porcine epidemic diarrhea virus isolate JS-CZYG202202 spike protein gene, partial cds
PP906230.1 Porcine epidemic diarrhea virus strain HLJ-CY spike protein gene, complete cds
MZ161039.1 Porcine epidemic diarrhea virus strain CH/LNFS/09/2020 spike protein (S) gene, complete cds
MZ161048.1 Porcine epidemic diarrhea virus strain CH/LNPJ/05/2020 spike protein (S) gene, complete cds
MH991859.1 Porcine epidemic diarrhea virus strain X2-GD2018 S protein (S) gene, complete cds
MZ570145.1 Porcine epidemic diarrhea virus isolate CH/HNKF-03/2020 spike protein (S) gene, complete cds
OL446966.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HNKF/2020, complete genome
PV036772.1 Porcine epidemic diarrhea virus isolate SSX1-1, complete genome
OM974567.1 Porcine epidemic diarrhea virus strain CH/XF1/C-3/2020 spike protein gene, complete cds
OM974570.1 Porcine epidemic diarrhea virus strain CH/XF1/C-4/2019 spike protein gene, complete cds
PP580822.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-5 spike protein (S) gene, complete cds
PP580821.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-4 spike protein (S) gene, complete cds
PP580824.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-7 spike protein (S) gene, complete cds
PP580825.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-8 spike protein (S) gene, complete cds
PP580819.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-2 spike protein (S) gene, complete cds
PP580812.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-1 spike protein (S) gene, complete cds
PP580827.1 Porcine epidemic diarrhea virus isolate HN-ZZ2020 spike protein (S) gene, complete cds
OR501722.1 Porcine epidemic diarrhea virus strain FJS1-5 spike protein (S) gene, complete cds
OR501723.1 Porcine epidemic diarrhea virus strain FJS1-7 spike protein (S) gene, complete cds
MZ161044.1 Porcine epidemic diarrhea virus strain CH/AHMJ/07/2020 spike protein (S) gene, complete cds
OQ349212.1 Porcine epidemic diarrhea virus isolate FJ1912 spike protein (S) gene, complete cds
OQ657297.1 Porcine epidemic diarrhea virus strain HNYZ spike protein (S) gene, complete cds
OQ979198.1 Porcine epidemic diarrhea virus strain HNYZ, complete genome
MH991866.1 Porcine epidemic diarrhea virus strain Z1-HB2018 S protein (S) gene, complete cds
MH991868.1 Porcine epidemic diarrhea virus strain Z8-HB2018 S protein (S) gene, complete cds
OQ657296.1 Porcine epidemic diarrhea virus strain HNXH spike protein (S) gene, complete cds
OQ979199.1 Porcine epidemic diarrhea virus strain HNXH, complete genome
MZ161028.1 Porcine epidemic diarrhea virus strain CH/HBHG/10/2020 spike protein (S) gene, complete cds
OR001815.1 Porcine epidemic diarrhea virus isolate A2021014 spike protein (S) gene, complete cds
OR001816.1 Porcine epidemic diarrhea virus isolate A2021015 spike protein (S) gene, complete cds
MT294134.1 Porcine epidemic diarrhea virus isolate NMTL-2018 spike glycoprotein (S) gene, complete cds
MF375374.1 Porcine epidemic diarrhea virus isolate CH/JXJA/2017, complete genome
MH593150.1 Porcine epidemic diarrhea virus isolate CH/SCLS608/2018 spike protein (S) gene, complete cds
MZ161056.1 Porcine epidemic diarrhea virus strain CH/HNCC/03/2020 spike protein (S) gene, complete cds
MZ161064.1 Porcine epidemic diarrhea virus strain CH/JXPY/12/2020 spike protein (S) gene, complete cds
OR808014.1 Porcine epidemic diarrhea virus isolate JSxz2021 spike protein (S) gene, complete cds
ON988086.1 Porcine epidemic diarrhea virus isolate SDHY_ZB spike protein (S) gene, partial cds
ON988096.1 Porcine epidemic diarrhea virus isolate SDHY_BZ spike protein (S) gene, partial cds
MZ161043.1 Porcine epidemic diarrhea virus strain CH/HBCZ/07/2020 spike protein (S) gene, complete cds
PP198349.1 Porcine epidemic diarrhea virus strain CHN/JX-202201, complete genome
OR567504.1 Porcine epidemic diarrhea virus isolate CHN/HuB-202202 spike protein gene, complete cds
OR567505.1 Porcine epidemic diarrhea virus isolate CHN/HuN-202201 spike protein gene, complete cds
MZ161057.1 Porcine epidemic diarrhea virus strain CH/HBZL/03/2020 spike protein (S) gene, complete cds
OR576824.1 Porcine epidemic diarrhea virus isolate CH/GD443/2022 spike protein (S) gene, complete cds
MZ161082.1 Porcine epidemic diarrhea virus strain CH/JSHY/09/2020 spike protein (S) gene, complete cds
OL762456.1 Porcine epidemic diarrhea virus strain PEDV SD2020, complete genome
ON168803.1 Porcine epidemic diarrhea virus strain NH-TA2020 spike protein gene, complete cds
OP245917.1 Porcine epidemic diarrhea virus strain SDTA13-2020, complete genome
OR240110.1 Porcine epidemic diarrhea virus isolate CHN/TZ2023 spike protein (S) gene, complete cds
OP433745.1 Porcine epidemic diarrhea virus isolate S-GDDH spike protein (S) gene, complete cds
OP433735.1 Porcine epidemic diarrhea virus isolate S-GDXF spike protein (S) gene, complete cds
OP433742.1 Porcine epidemic diarrhea virus isolate S-GDSL spike protein (S) gene, complete cds
MZ161083.1 Porcine epidemic diarrhea virus strain CH/HBTS/09/2020 spike protein (S) gene, complete cds
PV536082.1 Porcine epidemic diarrhea virus isolate PEDV-GSLX2-2023, partial genome
PV536083.1 Porcine epidemic diarrhea virus isolate PEDV-GSLX3-2023, partial genome
OQ915150.1 Porcine epidemic diarrhea virus strain ZJ2022, complete genome
PQ284573.1 Porcine epidemic diarrhea virus isolate CH-SX3-2023 spike protein (S) gene, complete cds
OQ122085.1 Porcine epidemic diarrhea virus isolate GSJQ/2022 spike protein (S) gene, complete cds
PV536087.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-GSYT4-2023, partial genome
PV536088.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-GSYT5-2023, partial genome
PV536084.1 Porcine epidemic diarrhea virus isolate PEDV-GSXY6-2023, partial genome
PV536085.1 Porcine epidemic diarrhea virus isolate PEDV-GSXY7-2023, partial genome
PV536089.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-GSYT8-2023, partial genome
PV536090.1 Porcine epidemic diarrhea virus isolate PEDV-GSYT9-2023, partial genome
MZ570144.1 Porcine epidemic diarrhea virus isolate CH/HNAY-01/2020 spike protein (S) gene, complete cds
MZ161045.1 Porcine epidemic diarrhea virus strain CH/GDCY/06/2020 spike protein (S) gene, complete cds
PQ124009.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-T S protein gene, complete cds
PP987385.1 Porcine epidemic diarrhea virus isolate VRL 27-Apr-2023, complete genome
PV164733.1 Porcine epidemic diarrhea virus isolate PEDV ZJ24LS0201 spike protein (S) gene, complete cds
MZ161051.1 Porcine epidemic diarrhea virus strain CH/GXLB/04/2020 spike protein (S) gene, complete cds
PP580823.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-6 spike protein (S) gene, complete cds
MZ570136.1 Porcine epidemic diarrhea virus isolate CH/HNXY-01/2020 spike protein (S) gene, complete cds
OQ657295.1 Porcine epidemic diarrhea virus strain HNLY spike protein (S) gene, complete cds
MZ570134.1 Porcine epidemic diarrhea virus isolate CH/HNXX-01/2020 spike protein (S) gene, complete cds
MZ161054.1 Porcine epidemic diarrhea virus strain CH/FJDH/04/2020 spike protein (S) gene, complete cds
PV164735.1 Porcine epidemic diarrhea virus isolate PEDV ZJ24NB0401 spike protein (S) gene, complete cds
PV614334.1 Porcine epidemic diarrhea virus isolate ZY2301 spike protein (S) gene, complete cds
MZ161088.1 Porcine epidemic diarrhea virus strain CH/SCLZ/12/2020 spike protein (S) gene, complete cds
MZ570149.1 Porcine epidemic diarrhea virus isolate CH/HNNY-01/2020 spike protein (S) gene, complete cds
MZ161042.1 Porcine epidemic diarrhea virus strain CH/SDZH/07/2020 spike protein (S) gene, complete cds
PV235415.1 Porcine epidemic diarrhea virus isolate 2021-HBMC spike (S) gene, complete cds
OL762461.1 Porcine epidemic diarrhea virus strain PEDV TRS2021, complete genome
MN617864.1 Porcine epidemic diarrhea virus isolate CH/SCLS-1/2018 spike protein (S) gene, complete cds
OQ718887.1 Porcine epidemic diarrhea virus isolate CH-HeN07-2021 spike protein (S) gene, complete cds
OK584017.1 Porcine epidemic diarrhea virus isolate HN2021, complete genome
OQ412639.1 Porcine epidemic diarrhea virus strain EHuB2, complete genome
ON960077.1 Porcine epidemic diarrhea virus strain CH/HNWMB/2021, complete genome
OQ718883.1 Porcine epidemic diarrhea virus isolate CH-HeN01-2021 spike protein (S) gene, complete cds
OR195027.1 Porcine epidemic diarrhea virus strain HB2022-2 spike protein (S) gene, complete cds
OR195026.1 Porcine epidemic diarrhea virus strain HB2022-1 spike protein (S) gene, complete cds
OR195028.1 Porcine epidemic diarrhea virus strain HB2022-3 spike protein (S) gene, complete cds
OR195038.1 Porcine epidemic diarrhea virus strain HB2022-13 spike protein (S) gene, complete cds
PV164730.1 Porcine epidemic diarrhea virus isolate PEDV AH24AH0501-01 spike protein (S) gene, complete cds
PQ284566.1 Porcine epidemic diarrhea virus isolate CH-HNF1-2023 spike protein (S) gene, complete cds
PV609792.1 Porcine epidemic diarrhea virus isolate PEDV CD2301 spike protein (S) gene, complete cds
PP395574.1 Porcine epidemic diarrhea virus strain SC2020CD spike protein (S) gene, complete cds
OQ718889.1 Porcine epidemic diarrhea virus isolate CH-HeN09-2021 spike protein (S) gene, complete cds
OP480878.1 Porcine epidemic diarrhea virus isolate CH/Yinchuan/2021, complete genome
OQ718891.1 Porcine epidemic diarrhea virus isolate CH-HeN11-2021 spike protein (S) gene, complete cds
