strain	accession	clade	description
KY928065.1	KY928065.1	G2c	Porcine epidemic diarrhea virus isolate CH_hubei_2016, complete genome
MF152596.1	MF152596.1	G2c	Porcine epidemic diarrhea virus strain CH/HNXJ/2016 spike protein gene, complete cds
MF152597.1	MF152597.1	G2c	Porcine epidemic diarrhea virus strain CH/HN7/2016 spike protein gene, complete cds
MF152599.1	MF152599.1	G2c	Porcine epidemic diarrhea virus strain CH/HNXY/2016 spike protein gene, complete cds
MF152602.1	MF152602.1	G2c	Porcine epidemic diarrhea virus strain CH/XJKT/2016 spike protein gene, complete cds
MF152603.1	MF152603.1	G2c	Porcine epidemic diarrhea virus strain CH/HNLB/2017 spike protein gene, complete cds
MF152604.1	MF152604.1	G2c	Porcine epidemic diarrhea virus strain CH/HNPJ/2017 spike protein gene, complete cds
MF346935.1	MF346935.1	G2c	Porcine epidemic diarrhea virus isolate CH/JLDH/2016, complete genome
MF375374.1	MF375374.1	G2c	Porcine epidemic diarrhea virus isolate CH/JXJA/2017, complete genome
MF807951.1	MF807951.1	G2c	Porcine epidemic diarrhea virus strain C3-HB2017, complete genome
MG020538.1	MG020538.1	G2c	Porcine epidemic diarrhea virus isolate CH-AHBB-1-2016 spike protein (S) gene, complete cds
MG020539.1	MG020539.1	G2c	Porcine epidemic diarrhea virus isolate CH-AHHX-1-2016 spike protein (S) gene, complete cds
MG020541.1	MG020541.1	G2c	Porcine epidemic diarrhea virus isolate CH-AHXC-1-2016 spike protein (S) gene, complete cds
MG020542.1	MG020542.1	G2c	Porcine epidemic diarrhea virus isolate CH-HBMC-1-2016 spike protein (S) gene, complete cds
MG020543.1	MG020543.1	G2c	Porcine epidemic diarrhea virus isolate CH-HBMC-2-2016 spike protein (S) gene, complete cds
MG020545.1	MG020545.1	G2c	Porcine epidemic diarrhea virus isolate CH-JSZJ-1-2016 spike protein (S) gene, complete cds
MG020546.1	MG020546.1	G2c	Porcine epidemic diarrhea virus isolate CH-JSZJ-2-2016 spike protein (S) gene, complete cds
MG020547.1	MG020547.1	G2c	Porcine epidemic diarrhea virus isolate CH-JXJJ-1-2016 spike protein (S) gene, complete cds
MG020551.1	MG020551.1	G2c	Porcine epidemic diarrhea virus isolate CH-ML-1-2016 spike protein (S) gene, complete cds
MG020552.1	MG020552.1	G2c	Porcine epidemic diarrhea virus isolate CH-ML-2-2016 spike protein (S) gene, complete cds
MG020553.1	MG020553.1	G2c	Porcine epidemic diarrhea virus isolate CH-ZJLS-1-2016 spike protein (S) gene, complete cds
MG198637.1	MG198637.1	G2c	Porcine epidemic diarrhea virus isolate JSYC1601 spike protein gene, complete cds
MG198644.1	MG198644.1	G2c	Porcine epidemic diarrhea virus isolate JSDT1505 spike protein gene, complete cds
MG198646.1	MG198646.1	G2c	Porcine epidemic diarrhea virus isolate JSHA1602 spike protein gene, complete cds
MG198650.1	MG198650.1	G2c	Porcine epidemic diarrhea virus isolate JSPZ1412 spike protein gene, complete cds
MG198652.1	MG198652.1	G2c	Porcine epidemic diarrhea virus isolate JSSH1506 spike protein gene, complete cds
MG198653.1	MG198653.1	G2c	Porcine epidemic diarrhea virus isolate JSSH1603 spike protein gene, complete cds
MG198657.1	MG198657.1	G2c	Porcine epidemic diarrhea virus isolate JSSQ1507 spike protein gene, complete cds
MG198658.1	MG198658.1	G2c	Porcine epidemic diarrhea virus isolate JSSQ1508 spike protein gene, complete cds
MG198661.1	MG198661.1	G2c	Porcine epidemic diarrhea virus isolate JSSQLH15 spike protein gene, complete cds
MG198662.1	MG198662.1	G2c	Porcine epidemic diarrhea virus isolate JSSY1505 spike protein gene, complete cds
MG198663.1	MG198663.1	G2c	Porcine epidemic diarrhea virus isolate JSSY1603 spike protein gene, complete cds
MG198666.1	MG198666.1	G2c	Porcine epidemic diarrhea virus isolate JSTZ1505 spike protein gene, complete cds
MG198667.1	MG198667.1	G2c	Porcine epidemic diarrhea virus isolate JSYZ1511 spike protein gene, complete cds
MG198670.1	MG198670.1	G2c	Porcine epidemic diarrhea virus isolate SHHC2016 spike protein gene, complete cds
MG334002.1	MG334002.1	G2c	Porcine epidemic diarrhea virus isolate YnP1 spike glycoprotein (S) gene, complete cds
MG334003.1	MG334003.1	G2c	Porcine epidemic diarrhea virus isolate YnP2 spike glycoprotein (S) gene, complete cds
MG334007.1	MG334007.1	G2c	Porcine epidemic diarrhea virus isolate YnP6 spike glycoprotein (S) gene, complete cds
MG334008.1	MG334008.1	G2c	Porcine epidemic diarrhea virus isolate YnP7 spike glycoprotein (S) gene, complete cds
MG334009.1	MG334009.1	G2c	Porcine epidemic diarrhea virus isolate YnP8 spike glycoprotein (S) gene, complete cds
MG334010.1	MG334010.1	G2c	Porcine epidemic diarrhea virus isolate YnP9 spike glycoprotein (S) gene, complete cds
MG546688.1	MG546688.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain CH/BJ2/2016 genomic sequence
MG546690.1	MG546690.1	G2c	Porcine epidemic diarrhea virus strain CH/BJ11/2016, complete genome
MG983755.1	MG983755.1	G2c	Porcine epidemic diarrhea virus strain GDgh, complete genome
MH003891.1	MH003891.1	G2c	Porcine epidemic diarrhea virus strain HM2017 spike protein (S) gene, complete cds
MH053412.1	MH053412.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCMZ/2017 spike protein (S) gene, complete cds
MH053413.1	MH053413.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCSH/2018 spike protein (S) gene, complete cds
MH053418.1	MH053418.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCAZ1/2017 spike protein (S) gene, complete cds
MH053419.1	MH053419.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCCZ/2017 spike protein (S) gene, complete cds
MH053420.1	MH053420.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCJY/2018 spike protein (S) gene, complete cds
MH061337.1	MH061337.1	G2c	Porcine epidemic diarrhea virus strain CH/SCZG/2017, complete genome
MH061339.1	MH061339.1	G2c	Porcine epidemic diarrhea virus strain CH/SCAZ10/2017, complete genome
MH061340.1	MH061340.1	G2c	Porcine epidemic diarrhea virus strain CH/SCZY103/2017, complete genome
MH061341.1	MH061341.1	G2c	Porcine epidemic diarrhea virus strain CH/SCLS/2018, complete genome
MH581489.1	MH581489.1	G2c	Porcine epidemic diarrhea virus isolate CH/HBTS/2017, complete genome
MH593139.1	MH593139.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCSH425/2018 spike protein (S) gene, complete cds
MH593140.1	MH593140.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCDY503/2018 spike protein (S) gene, complete cds
MH593142.1	MH593142.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCQL517/2018 spike protein (S) gene, complete cds
MH593143.1	MH593143.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCDL/2018 spike protein (S) gene, complete cds
MH593144.1	MH593144.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCDY523/2018 spike protein (S) gene, complete cds
MH593145.1	MH593145.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCSH525/2018 spike protein (S) gene, complete cds
MH593146.1	MH593146.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCZZ/2018 spike protein (S) gene, complete cds
MH593147.1	MH593147.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCPZ/2018 spike protein (S) gene, complete cds
MH593149.1	MH593149.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYA/2018 spike protein (S) gene, complete cds
MH593150.1	MH593150.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS608/2018 spike protein (S) gene, complete cds
MH593151.1	MH593151.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXH/2018 spike protein (S) gene, complete cds
MH593153.1	MH593153.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCBC/2018 spike protein (S) gene, complete cds
MH593893.1	MH593893.1	G2c	Porcine epidemic diarrhea virus isolate CH/TP/4-4/2018 spike protein (S) gene, complete cds
MH593895.1	MH593895.1	G2c	Porcine epidemic diarrhea virus isolate CH/TP/D15/2018 spike protein (S) gene, complete cds
MH678638.1	MH678638.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCJY710/2018 spike protein (S) gene, complete cds
MH708243.1	MH708243.1	G2c	Porcine epidemic diarrhea virus strain H11-SD2017, complete genome
MH726371.1	MH726371.1	G2c	Porcine epidemic diarrhea virus isolate GDS21, complete genome
MH726372.1	MH726372.1	G2c	Porcine epidemic diarrhea virus isolate GDS28, complete genome
MH726382.1	MH726382.1	G2c	Porcine epidemic diarrhea virus isolate GDS47, complete genome
MH726383.1	MH726383.1	G2c	Porcine epidemic diarrhea virus isolate GDS50, complete genome
MH726402.1	MH726402.1	G2c	Porcine epidemic diarrhea virus isolate GDS46, complete genome
MH726403.1	MH726403.1	G2c	Porcine epidemic diarrhea virus isolate GDS51, complete genome
MH726404.1	MH726404.1	G2c	Porcine epidemic diarrhea virus isolate GDS53, complete genome
MH726405.1	MH726405.1	G2c	Porcine epidemic diarrhea virus isolate GDS48, complete genome
MH726406.1	MH726406.1	G2c	Porcine epidemic diarrhea virus isolate GDS49, complete genome
MH726407.1	MH726407.1	G2c	Porcine epidemic diarrhea virus isolate GDS52, complete genome
MH816969.1	MH816969.1	G2c	Porcine epidemic diarrhea virus strain CH/HBXT/2018 spike glycoprotein gene, complete cds
MH893764.1	MH893764.1	G2c	Porcine epidemic diarrhea virus isolate HB2016-1 spike protein (S) gene, complete cds
MH991826.1	MH991826.1	G2c	Porcine epidemic diarrhea virus strain A3-GD2016 S protein (S) gene, complete cds
MH991827.1	MH991827.1	G2c	Porcine epidemic diarrhea virus strain B10-GD2017 S protein (S) gene, complete cds
MH991828.1	MH991828.1	G2c	Porcine epidemic diarrhea virus strain E3-SX2017 S protein (S) gene, complete cds
MH991829.1	MH991829.1	G2c	Porcine epidemic diarrhea virus strain E6-SN2017 S protein (S) gene, complete cds
MH991830.1	MH991830.1	G2c	Porcine epidemic diarrhea virus strain F11-HB2017 S protein (S) gene, complete cds
MH991831.1	MH991831.1	G2c	Porcine epidemic diarrhea virus strain F12-HA2017 S protein (S) gene, complete cds
MH991832.1	MH991832.1	G2c	Porcine epidemic diarrhea virus strain G2-HE2017 S protein (S) gene, complete cds
MH991833.1	MH991833.1	G2c	Porcine epidemic diarrhea virus strain G7-SC2017 S protein (S) gene, complete cds
MH991834.1	MH991834.1	G2c	Porcine epidemic diarrhea virus strain H13-HA2017 S protein (S) gene, complete cds
MH991835.1	MH991835.1	G2c	Porcine epidemic diarrhea virus strain J3-HA2017 S protein (S) gene, complete cds
MH991836.1	MH991836.1	G2c	Porcine epidemic diarrhea virus strain L6-HB2017 S protein (S) gene, complete cds
MH991837.1	MH991837.1	G2c	Porcine epidemic diarrhea virus strain M3-SX2017 S protein (S) gene, complete cds
MH991840.1	MH991840.1	G2c	Porcine epidemic diarrhea virus strain N14-ZJ2017 S protein (S) gene, complete cds
MH991841.1	MH991841.1	G2c	Porcine epidemic diarrhea virus strain N5-ZJ2017 S protein (S) gene, complete cds
MH991844.1	MH991844.1	G2c	Porcine epidemic diarrhea virus strain P12-HB2017 S protein (S) gene, complete cds
MH991845.1	MH991845.1	G2c	Porcine epidemic diarrhea virus strain PA2-HB2018 S protein (S) gene, complete cds
MH991846.1	MH991846.1	G2c	Porcine epidemic diarrhea virus strain PA3-GD2018 S protein (S) gene, complete cds
MH991847.1	MH991847.1	G2c	Porcine epidemic diarrhea virus strain Q10-HB2017 S protein (S) gene, complete cds
MH991848.1	MH991848.1	G2c	Porcine epidemic diarrhea virus strain Q1-AH2017 S protein (S) gene, complete cds
MH991849.1	MH991849.1	G2c	Porcine epidemic diarrhea virus strain R3-GD2017 S protein (S) gene, complete cds
MH991850.1	MH991850.1	G2c	Porcine epidemic diarrhea virus strain S1-GD2018 S protein (S) gene, complete cds
MH991851.1	MH991851.1	G2c	Porcine epidemic diarrhea virus strain T10-HB2018 S protein (S) gene, complete cds
MH991852.1	MH991852.1	G2c	Porcine epidemic diarrhea virus strain T5-HA2018 S protein (S) gene, complete cds
MH991853.1	MH991853.1	G2c	Porcine epidemic diarrhea virus strain U2-HA2018 S protein (S) gene, complete cds
MH991854.1	MH991854.1	G2c	Porcine epidemic diarrhea virus strain V1-HB2018 S protein (S) gene, complete cds
MH991856.1	MH991856.1	G2c	Porcine epidemic diarrhea virus strain W3-AH2018 S protein (S) gene, complete cds
MH991857.1	MH991857.1	G2c	Porcine epidemic diarrhea virus strain W6-HB2018 S protein (S) gene, complete cds
MH991858.1	MH991858.1	G2c	Porcine epidemic diarrhea virus strain W8-JS2018 S protein (S) gene, complete cds
MH991859.1	MH991859.1	G2c	Porcine epidemic diarrhea virus strain X2-GD2018 S protein (S) gene, complete cds
MH991860.1	MH991860.1	G2c	Porcine epidemic diarrhea virus strain Y11-FJ2018 S protein (S) gene, complete cds
MH991861.1	MH991861.1	G2c	Porcine epidemic diarrhea virus strain Y17-ZJ2018 S protein (S) gene, complete cds
MH991862.1	MH991862.1	G2c	Porcine epidemic diarrhea virus strain Y1-HA2018 S protein (S) gene, complete cds
MH991863.1	MH991863.1	G2c	Porcine epidemic diarrhea virus strain Y2-HA2018 S protein (S) gene, complete cds
MH991866.1	MH991866.1	G2c	Porcine epidemic diarrhea virus strain Z1-HB2018 S protein (S) gene, complete cds
MH991867.1	MH991867.1	G2c	Porcine epidemic diarrhea virus strain Z7-HA2018 S protein (S) gene, complete cds
MH991868.1	MH991868.1	G2c	Porcine epidemic diarrhea virus strain Z8-HB2018 S protein (S) gene, complete cds
MK111633.1	MK111633.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNAY/2016 spike protein gene, complete cds
MK138353.1	MK138353.1	G2c	Porcine epidemic diarrhea virus strain G2, complete genome
MK140814.1	MK140814.1	G2c	Porcine epidemic diarrhea virus isolate CH/TP-4-4/2018, complete genome
MK250953.1	MK250953.1	G2c	Porcine epidemic diarrhea virus strain ZJ/ZX2018-C10, complete genome
MK532982.1	MK532982.1	G2c	Porcine epidemic diarrhea virus strain A2-GD2016 spike protein (S) gene, complete cds
MK532989.1	MK532989.1	G2c	Porcine epidemic diarrhea virus strain B9-GD2017 spike protein (S) gene, complete cds
MK532990.1	MK532990.1	G2c	Porcine epidemic diarrhea virus strain C1-GD2017 spike protein (S) gene, complete cds
MK532991.1	MK532991.1	G2c	Porcine epidemic diarrhea virus strain C2-HB2017 spike protein (S) gene, complete cds
MK532992.1	MK532992.1	G2c	Porcine epidemic diarrhea virus strain E5-SN2017 spike protein (S) gene, complete cds
MK532993.1	MK532993.1	G2c	Porcine epidemic diarrhea virus strain F14-HA2017 spike protein (S) gene, complete cds
MK532994.1	MK532994.1	G2c	Porcine epidemic diarrhea virus strain H1-SD2017 spike protein (S) gene, complete cds
MK532995.1	MK532995.1	G2c	Porcine epidemic diarrhea virus strain L1-HB2017 spike protein (S) gene, complete cds
MK532996.1	MK532996.1	G2c	Porcine epidemic diarrhea virus strain M5-SX2017 spike protein (S) gene, complete cds
MK532997.1	MK532997.1	G2c	Porcine epidemic diarrhea virus strain M6-SX2017 spike protein (S) gene, complete cds
MK532998.1	MK532998.1	G2c	Porcine epidemic diarrhea virus strain M11-SX2017 spike protein (S) gene, complete cds
MK532999.1	MK532999.1	G2c	Porcine epidemic diarrhea virus strain M12-SX2017 spike protein (S) gene, complete cds
MK533000.1	MK533000.1	G2c	Porcine epidemic diarrhea virus strain M13-SX2017 spike protein (S) gene, complete cds
MK533001.1	MK533001.1	G2c	Porcine epidemic diarrhea virus strain M16-SX2017 spike protein (S) gene, complete cds
MK533003.1	MK533003.1	G2c	Porcine epidemic diarrhea virus strain N12-GD2017 spike protein (S) gene, complete cds
MK533005.1	MK533005.1	G2c	Porcine epidemic diarrhea virus strain P13-HB2017 spike protein (S) gene, complete cds
MK533006.1	MK533006.1	G2c	Porcine epidemic diarrhea virus strain PA4-GD2018 spike protein (S) gene, complete cds
MK533007.1	MK533007.1	G2c	Porcine epidemic diarrhea virus strain PB1-SD2018 spike protein (S) gene, complete cds
MK533008.1	MK533008.1	G2c	Porcine epidemic diarrhea virus strain Q2-AH2017 spike protein (S) gene, complete cds
MK533009.1	MK533009.1	G2c	Porcine epidemic diarrhea virus strain S2-GD2018 spike protein (S) gene, complete cds
MK533010.1	MK533010.1	G2c	Porcine epidemic diarrhea virus strain V15-HB2018 spike protein (S) gene, complete cds
MK592415.1	MK592415.1	G2c	Porcine epidemic diarrhea virus isolate SWUN19/CH/SCZY/2018 spike protein (S) gene, complete cds
MK592416.1	MK592416.1	G2c	Porcine epidemic diarrhea virus isolate SWUN2/CH/SCXC/2018 spike protein (S) gene, complete cds
MK598819.1	MK598819.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCZY/2018 spike protein (S) gene, complete cds
MK598820.1	MK598820.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds
MK598821.1	MK598821.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds
MK606369.1	MK606369.1	G2c	Porcine epidemic diarrhea virus isolate CH-HB2-2018, complete genome
MK628688.1	MK628688.1	G2c	Porcine epidemic diarrhea virus spike protein gene, complete cds
MK644601.1	MK644601.1	G2c	Porcine epidemic diarrhea virus isolate G2-HE2017, complete genome
MK644602.1	MK644602.1	G2c	Porcine epidemic diarrhea virus isolate L6-HB2017, complete genome
MK644603.1	MK644603.1	G2c	Porcine epidemic diarrhea virus isolate M3-SX2017, complete genome
MK644605.1	MK644605.1	G2c	Porcine epidemic diarrhea virus isolate T10-HB2018, complete genome
MK656505.1	MK656505.1	G2c	Porcine epidemic diarrhea virus strain JN1806-24 S protein gene, partial cds
MK656506.1	MK656506.1	G2c	Porcine epidemic diarrhea virus strain JN1806-28 S protein gene, partial cds
MK656507.1	MK656507.1	G2c	Porcine epidemic diarrhea virus strain JN1806-31 S protein gene, complete cds
MK685665.1	MK685665.1	G2c	Porcine epidemic diarrhea virus isolate CH-SCNJ-2019 spike protein (S) gene, complete cds
MK690502.1	MK690502.1	G2c	Porcine epidemic diarrhea virus isolate HM2017, complete genome
MK702008.1	MK702008.1	G2c	Porcine epidemic diarrhea virus isolate SNJ-P, complete genome
MK726310.1	MK726310.1	G2c	Porcine epidemic diarrhea virus strain CH/HNZK/201709 spike protein gene, complete cds
MK820037.1	MK820037.1	G2c	Porcine epidemic diarrhea virus isolate swun-18-CH-SCLS-2019 spike protein (S) gene, complete cds
MK820038.1	MK820038.1	G2c	Porcine epidemic diarrhea virus isolate swun-3CH-CH-SCZG-2019 spike protein (S) gene, complete cds
MK820039.1	MK820039.1	G2c	Porcine epidemic diarrhea virus isolate swun-MY-CH-SCMY-2019 spike protein (S) gene, complete cds
MK820040.1	MK820040.1	G2c	Porcine epidemic diarrhea virus isolate swun-H1-CH-SCYA-2019 spike protein (S) gene, complete cds
MK820041.1	MK820041.1	G2c	Porcine epidemic diarrhea virus isolate swun-Y1-CH-SCCQ-2019 spike protein (S) gene, complete cds
MK862249.1	MK862249.1	G2c	Porcine epidemic diarrhea virus strain HeN170821, complete genome
MN161584.1	MN161584.1	G2c	Porcine epidemic diarrhea virus strain SWUN-C6-CH-SCYA-2019 spike protein (S) gene, complete cds
MN213154.1	MN213154.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCXM/2019 spike protein gene, complete cds
MN368665.1	MN368665.1	G2c	Porcine epidemic diarrhea virus isolate FJzz15 spike protein (S) gene, complete cds
MN368668.1	MN368668.1	G2c	Porcine epidemic diarrhea virus isolate GDhy15 spike protein (S) gene, complete cds
MN368669.1	MN368669.1	G2c	Porcine epidemic diarrhea virus isolate GDhz15 spike protein (S) gene, complete cds
MN368670.1	MN368670.1	G2c	Porcine epidemic diarrhea virus isolate GDjm15 spike protein (S) gene, complete cds
MN368672.1	MN368672.1	G2c	Porcine epidemic diarrhea virus isolate GDsg15-1 spike protein (S) gene, complete cds
MN368677.1	MN368677.1	G2c	Porcine epidemic diarrhea virus isolate GDzq15-3 spike protein (S) gene, complete cds
MN368678.1	MN368678.1	G2c	Porcine epidemic diarrhea virus isolate GXnn15 spike protein (S) gene, complete cds
MN368679.1	MN368679.1	G2c	Porcine epidemic diarrhea virus isolate GZgy15 spike protein (S) gene, complete cds
MN368681.1	MN368681.1	G2c	Porcine epidemic diarrhea virus isolate JXgz15 spike protein (S) gene, complete cds
MN368682.1	MN368682.1	G2c	Porcine epidemic diarrhea virus isolate GDzq16 spike protein (S) gene, complete cds
MN368683.1	MN368683.1	G2c	Porcine epidemic diarrhea virus isolate FJqz16 spike protein (S) gene, complete cds
MN368684.1	MN368684.1	G2c	Porcine epidemic diarrhea virus isolate GDfs16 spike protein (S) gene, complete cds
MN368685.1	MN368685.1	G2c	Porcine epidemic diarrhea virus isolate GDhy16 spike protein (S) gene, complete cds
MN368686.1	MN368686.1	G2c	Porcine epidemic diarrhea virus isolate GDhz16 spike protein (S) gene, complete cds
MN368687.1	MN368687.1	G2c	Porcine epidemic diarrhea virus isolate GDjm16-1 spike protein (S) gene, complete cds
MN368689.1	MN368689.1	G2c	Porcine epidemic diarrhea virus isolate GDjx16 spike protein (S) gene, complete cds
MN368690.1	MN368690.1	G2c	Porcine epidemic diarrhea virus isolate GDsg16-1 spike protein (S) gene, complete cds
MN368691.1	MN368691.1	G2c	Porcine epidemic diarrhea virus isolate GDsg16-2 spike protein (S) gene, complete cds
MN368692.1	MN368692.1	G2c	Porcine epidemic diarrhea virus isolate GDyj16 spike protein (S) gene, complete cds
MN368693.1	MN368693.1	G2c	Porcine epidemic diarrhea virus isolate GDdg17 spike protein (S) gene, complete cds
MN368695.1	MN368695.1	G2c	Porcine epidemic diarrhea virus isolate FJfz17-1 spike protein (S) gene, complete cds
MN368698.1	MN368698.1	G2c	Porcine epidemic diarrhea virus isolate FJqz17-2 spike protein (S) gene, complete cds
MN368699.1	MN368699.1	G2c	Porcine epidemic diarrhea virus isolate GDhy17 spike protein (S) gene, complete cds
MN368703.1	MN368703.1	G2c	Porcine epidemic diarrhea virus isolate GDjm17-3 spike protein (S) gene, complete cds
MN368704.1	MN368704.1	G2c	Porcine epidemic diarrhea virus isolate GDmm17-1 spike protein (S) gene, complete cds
MN368705.1	MN368705.1	G2c	Porcine epidemic diarrhea virus isolate GDmm17-2 spike protein (S) gene, complete cds
MN368707.1	MN368707.1	G2c	Porcine epidemic diarrhea virus isolate HNcz17 spike protein (S) gene, complete cds
MN368708.1	MN368708.1	G2c	Porcine epidemic diarrhea virus isolate JXnc17 spike protein (S) gene, complete cds
MN368709.1	MN368709.1	G2c	Porcine epidemic diarrhea virus isolate SDbz18 spike protein (S) gene, complete cds
MN368711.1	MN368711.1	G2c	Porcine epidemic diarrhea virus isolate FJfz18-2 spike protein (S) gene, complete cds
MN368712.1	MN368712.1	G2c	Porcine epidemic diarrhea virus isolate FJqz18 spike protein (S) gene, complete cds
MN368713.1	MN368713.1	G2c	Porcine epidemic diarrhea virus isolate GDhy18-1 spike protein (S) gene, complete cds
MN368714.1	MN368714.1	G2c	Porcine epidemic diarrhea virus isolate GDhy18-2 spike protein (S) gene, complete cds
MN368715.1	MN368715.1	G2c	Porcine epidemic diarrhea virus isolate GDhy18-3 spike protein (S) gene, complete cds
MN368716.1	MN368716.1	G2c	Porcine epidemic diarrhea virus isolate GDhz18 spike protein (S) gene, complete cds
MN368717.1	MN368717.1	G2c	Porcine epidemic diarrhea virus isolate GDjm18-1 spike protein (S) gene, complete cds
MN368719.1	MN368719.1	G2c	Porcine epidemic diarrhea virus isolate GDmm18-1 spike protein (S) gene, complete cds
MN368720.1	MN368720.1	G2c	Porcine epidemic diarrhea virus isolate GDmm18-2 spike protein (S) gene, complete cds
MN368721.1	MN368721.1	G2c	Porcine epidemic diarrhea virus isolate GDsg18-1 spike protein (S) gene, complete cds
MN368722.1	MN368722.1	G2c	Porcine epidemic diarrhea virus isolate GDsg18-2 spike protein (S) gene, complete cds
MN368723.1	MN368723.1	G2c	Porcine epidemic diarrhea virus isolate GDst18 spike protein (S) gene, complete cds
MN368725.1	MN368725.1	G2c	Porcine epidemic diarrhea virus isolate GDzj18-2 spike protein (S) gene, complete cds
MN412557.1	MN412557.1	G2c	Porcine epidemic diarrhea virus strain HN-JY/2018 S protein (S) gene, complete cds
MN412567.1	MN412567.1	G2c	Porcine epidemic diarrhea virus strain HN-KF/2017 S protein (S) gene, complete cds
MN412570.1	MN412570.1	G2c	Porcine epidemic diarrhea virus strain HN-XZ/2017 S protein (S) gene, complete cds
MN412571.1	MN412571.1	G2c	Porcine epidemic diarrhea virus strain SX-TY1/2017 S protein (S) gene, complete cds
MN412572.1	MN412572.1	G2c	Porcine epidemic diarrhea virus strain SX-TY2/2017 S protein (S) gene, complete cds
MN412574.1	MN412574.1	G2c	Porcine epidemic diarrhea virus strain SX-WS2/2018 S protein (S) gene, complete cds
MN617858.1	MN617858.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCCD-1/2018 spike protein (S) gene, complete cds
MN617859.1	MN617859.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCCD-2/2018 spike protein (S) gene, complete cds
MN617860.1	MN617860.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCMS-1/2018 spike protein (S) gene, complete cds
MN617861.1	MN617861.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCZY-1/2018 spike protein (S) gene, complete cds
MN617862.1	MN617862.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCMY-1/2018 spike protein (S) gene, complete cds
MN617864.1	MN617864.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS-1/2018 spike protein (S) gene, complete cds
MN617865.1	MN617865.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYB-1/2018 spike protein (S) gene, complete cds
MN617866.1	MN617866.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCQL-1/2018 spike protein (S) gene, complete cds
MN617867.1	MN617867.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCQL-2/2018 spike protein (S) gene, complete cds
MN841671.1	MN841671.1	G2c	Porcine epidemic diarrhea virus strain SHXX1902, complete genome
MN893406.1	MN893406.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNAY-2016 spike glycoprotein gene, complete cds
MN893407.1	MN893407.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNAY-2017 spike glycoprotein gene, complete cds
MN893411.1	MN893411.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNLH-2016 spike glycoprotein gene, complete cds
MN893412.1	MN893412.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNLH-2017 spike glycoprotein gene, complete cds
MN893413.1	MN893413.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNNY-2017 spike glycoprotein gene, complete cds
MN893416.1	MN893416.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNPY-2016 spike glycoprotein gene, complete cds
MN893418.1	MN893418.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNXX-2017 spike glycoprotein gene, complete cds
MN893419.1	MN893419.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNXY-1-2017 spike glycoprotein gene, complete cds
MN893420.1	MN893420.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNXY-2-2017 spike glycoprotein gene, complete cds
MN893421.1	MN893421.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNXY-3-2018 spike glycoprotein gene, complete cds
MN893422.1	MN893422.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNZK-1-2017 spike glycoprotein gene, complete cds
MN893423.1	MN893423.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNZK-2-2018 spike glycoprotein gene, complete cds
