accession	description	source_file	line_no	clade	source_header	raw_date	reason
MH593153.1	Porcine epidemic diarrhea virus isolate CH/SCBC/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	502	G2c	MH593153.1|CH/SCBC/2018|28-Jun-2018|China	28-Jun-2018	missing_or_unparseable_date
MH593893.1	Porcine epidemic diarrhea virus isolate CH/TP/4-4/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	405	G2c	MH593893.1|CH/TP/4-4/2018|06-Feb-2018|China	06-Feb-2018	missing_or_unparseable_date
MH593895.1	Porcine epidemic diarrhea virus isolate CH/TP/D15/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	406	G2c	MH593895.1|CH/TP/D15/2018|15-Mar-2018|China	15-Mar-2018	missing_or_unparseable_date
MH678638.1	Porcine epidemic diarrhea virus isolate CH/SCJY710/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	393	G2c	MH678638.1|CH/SCJY710/2018|10-Jul-2018|China	10-Jul-2018	missing_or_unparseable_date
MH708243.1	Porcine epidemic diarrhea virus strain H11-SD2017, complete genome	G2cchinanew.txt	497	G2c	MH708243.1|H11-SD2017|01-Sep-2017|China	01-Sep-2017	missing_or_unparseable_date
MH726371.1	Porcine epidemic diarrhea virus isolate GDS21, complete genome	G2cchinanew.txt	205	G2c	MH726371.1|GDS21|09-Jan-2014|China	09-Jan-2014	missing_or_unparseable_date
MH726372.1	Porcine epidemic diarrhea virus isolate GDS28, complete genome	G2cchinanew.txt	121	G2c	MH726372.1|GDS28|13-Dec-2012|China	13-Dec-2012	missing_or_unparseable_date
MH726382.1	Porcine epidemic diarrhea virus isolate GDS47, complete genome	G2cchinanew.txt	35	G2c	MH726382.1|GDS47|18-May-2016|China	18-May-2016	missing_or_unparseable_date
MH726383.1	Porcine epidemic diarrhea virus isolate GDS50, complete genome	G2cchinanew.txt	427	G2c	MH726383.1|GDS50|27-Feb-2017|China	27-Feb-2017	missing_or_unparseable_date
MH726402.1	Porcine epidemic diarrhea virus isolate GDS46, complete genome	G2cchinanew.txt	586	G2c	MH726402.1|GDS46|06-May-2016|China	06-May-2016	missing_or_unparseable_date
MH726403.1	Porcine epidemic diarrhea virus isolate GDS51, complete genome	G2cchinanew.txt	514	G2c	MH726403.1|GDS51|24-Feb-2017|China	24-Feb-2017	missing_or_unparseable_date
MH726404.1	Porcine epidemic diarrhea virus isolate GDS53, complete genome	G2cchinanew.txt	515	G2c	MH726404.1|GDS53|17-Dec-2017|China	17-Dec-2017	missing_or_unparseable_date
MH726405.1	Porcine epidemic diarrhea virus isolate GDS48, complete genome	G2cchinanew.txt	507	G2c	MH726405.1|GDS48|06-Dec-2016|China	06-Dec-2016	missing_or_unparseable_date
MH726406.1	Porcine epidemic diarrhea virus isolate GDS49, complete genome	G2cchinanew.txt	600	G2c	MH726406.1|GDS49|25-Feb-2017|China	25-Feb-2017	missing_or_unparseable_date
MH726407.1	Porcine epidemic diarrhea virus isolate GDS52, complete genome	G2cchinanew.txt	601	G2c	MH726407.1|GDS52|25-Feb-2017|China	25-Feb-2017	missing_or_unparseable_date
MH991826.1	Porcine epidemic diarrhea virus strain A3-GD2016 S protein (S) gene, complete cds	G2cchinanew.txt	238	G2c	MH991826.1|A3-GD2016|30-Dec-2016|China	30-Dec-2016	missing_or_unparseable_date
MH991827.1	Porcine epidemic diarrhea virus strain B10-GD2017 S protein (S) gene, complete cds	G2cchinanew.txt	13	G2c	MH991827.1|B10-GD2017|17-Feb-2017|China	17-Feb-2017	missing_or_unparseable_date
MH991828.1	Porcine epidemic diarrhea virus strain E3-SX2017 S protein (S) gene, complete cds	G2cchinanew.txt	140	G2c	MH991828.1|E3-SX2017|18-Mar-2017|China	18-Mar-2017	missing_or_unparseable_date
MH991829.1	Porcine epidemic diarrhea virus strain E6-SN2017 S protein (S) gene, complete cds	G2cchinanew.txt	100	G2c	MH991829.1|E6-SN2017|18-Mar-2017|China	18-Mar-2017	missing_or_unparseable_date
MH991830.1	Porcine epidemic diarrhea virus strain F11-HB2017 S protein (S) gene, complete cds	G2cchinanew.txt	145	G2c	MH991830.1|F11-HB2017|26-May-2017|China	26-May-2017	missing_or_unparseable_date
MH991831.1	Porcine epidemic diarrhea virus strain F12-HA2017 S protein (S) gene, complete cds	G2cchinanew.txt	36	G2c	MH991831.1|F12-HA2017|26-May-2017|China	26-May-2017	missing_or_unparseable_date
MH991832.1	Porcine epidemic diarrhea virus strain G2-HE2017 S protein (S) gene, complete cds	G2cchinanew.txt	584	G2c	MH991832.1|G2-HE2017|01-Jun-2017|China	01-Jun-2017	missing_or_unparseable_date
MH991833.1	Porcine epidemic diarrhea virus strain G7-SC2017 S protein (S) gene, complete cds	G2cchinanew.txt	343	G2c	MH991833.1|G7-SC2017|01-Jun-2017|China	01-Jun-2017	missing_or_unparseable_date
MH991834.1	Porcine epidemic diarrhea virus strain H13-HA2017 S protein (S) gene, complete cds	G2cchinanew.txt	499	G2c	MH991834.1|H13-HA2017|04-Sep-2017|China	04-Sep-2017	missing_or_unparseable_date
MH991835.1	Porcine epidemic diarrhea virus strain J3-HA2017 S protein (S) gene, complete cds	G2cchinanew.txt	520	G2c	MH991835.1|J3-HA2017|03-Sep-2017|China	03-Sep-2017	missing_or_unparseable_date
MH991836.1	Porcine epidemic diarrhea virus strain L6-HB2017 S protein (S) gene, complete cds	G2cchinanew.txt	46	G2c	MH991836.1|L6-HB2017|20-Oct-2017|China	20-Oct-2017	missing_or_unparseable_date
MH991837.1	Porcine epidemic diarrhea virus strain M3-SX2017 S protein (S) gene, complete cds	G2cchinanew.txt	605	G2c	MH991837.1|M3-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MH991840.1	Porcine epidemic diarrhea virus strain N14-ZJ2017 S protein (S) gene, complete cds	G2cchinanew.txt	2	G2c	MH991840.1|N14-ZJ2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MH991841.1	Porcine epidemic diarrhea virus strain N5-ZJ2017 S protein (S) gene, complete cds	G2cchinanew.txt	3	G2c	MH991841.1|N5-ZJ2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MH991844.1	Porcine epidemic diarrhea virus strain P12-HB2017 S protein (S) gene, complete cds	G2cchinanew.txt	146	G2c	MH991844.1|P12-HB2017|15-Dec-2017|China	15-Dec-2017	missing_or_unparseable_date
MH991845.1	Porcine epidemic diarrhea virus strain PA2-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	76	G2c	MH991845.1|PA2-HB2018|15-Jun-2018|China	15-Jun-2018	missing_or_unparseable_date
MH991846.1	Porcine epidemic diarrhea virus strain PA3-GD2018 S protein (S) gene, complete cds	G2cchinanew.txt	428	G2c	MH991846.1|PA3-GD2018|15-Jun-2018|China	15-Jun-2018	missing_or_unparseable_date
MH991847.1	Porcine epidemic diarrhea virus strain Q10-HB2017 S protein (S) gene, complete cds	G2cchinanew.txt	96	G2c	MH991847.1|Q10-HB2017|22-Dec-2017|China	22-Dec-2017	missing_or_unparseable_date
MH991848.1	Porcine epidemic diarrhea virus strain Q1-AH2017 S protein (S) gene, complete cds	G2cchinanew.txt	770	G2c	MH991848.1|Q1-AH2017|22-Dec-2017|China	22-Dec-2017	missing_or_unparseable_date
MH991849.1	Porcine epidemic diarrhea virus strain R3-GD2017 S protein (S) gene, complete cds	G2cchinanew.txt	563	G2c	MH991849.1|R3-GD2017|29-Dec-2017|China	29-Dec-2017	missing_or_unparseable_date
MH991850.1	Porcine epidemic diarrhea virus strain S1-GD2018 S protein (S) gene, complete cds	G2cchinanew.txt	223	G2c	MH991850.1|S1-GD2018|23-Jan-2018|China	23-Jan-2018	missing_or_unparseable_date
MH991851.1	Porcine epidemic diarrhea virus strain T10-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	470	G2c	MH991851.1|T10-HB2018|02-Feb-2018|China	02-Feb-2018	missing_or_unparseable_date
MH991852.1	Porcine epidemic diarrhea virus strain T5-HA2018 S protein (S) gene, complete cds	G2cchinanew.txt	353	G2c	MH991852.1|T5-HA2018|02-Feb-2018|China	02-Feb-2018	missing_or_unparseable_date
MH991853.1	Porcine epidemic diarrhea virus strain U2-HA2018 S protein (S) gene, complete cds	G2cchinanew.txt	392	G2c	MH991853.1|U2-HA2018|07-Feb-2018|China	07-Feb-2018	missing_or_unparseable_date
MH991854.1	Porcine epidemic diarrhea virus strain V1-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	87	G2c	MH991854.1|V1-HB2018|09-Mar-2018|China	09-Mar-2018	missing_or_unparseable_date
MH991856.1	Porcine epidemic diarrhea virus strain W3-AH2018 S protein (S) gene, complete cds	G2cchinanew.txt	351	G2c	MH991856.1|W3-AH2018|23-Mar-2018|China	23-Mar-2018	missing_or_unparseable_date
MH991857.1	Porcine epidemic diarrhea virus strain W6-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	769	G2c	MH991857.1|W6-HB2018|23-Mar-2018|China	23-Mar-2018	missing_or_unparseable_date
MH991858.1	Porcine epidemic diarrhea virus strain W8-JS2018 S protein (S) gene, complete cds	G2cchinanew.txt	365	G2c	MH991858.1|W8-JS2018|23-Mar-2018|China	23-Mar-2018	missing_or_unparseable_date
MH991859.1	Porcine epidemic diarrhea virus strain X2-GD2018 S protein (S) gene, complete cds	G2cchinanew.txt	778	G2c	MH991859.1|X2-GD2018|13-Apr-2018|China	13-Apr-2018	missing_or_unparseable_date
MH991860.1	Porcine epidemic diarrhea virus strain Y11-FJ2018 S protein (S) gene, complete cds	G2cchinanew.txt	433	G2c	MH991860.1|Y11-FJ2018|27-Apr-2018|China	27-Apr-2018	missing_or_unparseable_date
MH991861.1	Porcine epidemic diarrhea virus strain Y17-ZJ2018 S protein (S) gene, complete cds	G2cchinanew.txt	622	G2c	MH991861.1|Y17-ZJ2018|27-Apr-2018|China	27-Apr-2018	missing_or_unparseable_date
MH991862.1	Porcine epidemic diarrhea virus strain Y1-HA2018 S protein (S) gene, complete cds	G2cchinanew.txt	212	G2c	MH991862.1|Y1-HA2018|27-Apr-2018|China	27-Apr-2018	missing_or_unparseable_date
MH991863.1	Porcine epidemic diarrhea virus strain Y2-HA2018 S protein (S) gene, complete cds	G2cchinanew.txt	478	G2c	MH991863.1|Y2-HA2018|27-Apr-2018|China	27-Apr-2018	missing_or_unparseable_date
MH991866.1	Porcine epidemic diarrhea virus strain Z1-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	797	G2c	MH991866.1|Z1-HB2018|28-May-2018|China	28-May-2018	missing_or_unparseable_date
MH991867.1	Porcine epidemic diarrhea virus strain Z7-HA2018 S protein (S) gene, complete cds	G2cchinanew.txt	371	G2c	MH991867.1|Z7-HA2018|28-May-2018|China	28-May-2018	missing_or_unparseable_date
MH991868.1	Porcine epidemic diarrhea virus strain Z8-HB2018 S protein (S) gene, complete cds	G2cchinanew.txt	798	G2c	MH991868.1|Z8-HB2018|28-May-2018|China	28-May-2018	missing_or_unparseable_date
MK532982.1	Porcine epidemic diarrhea virus strain A2-GD2016 spike protein (S) gene, complete cds	G2cchinanew.txt	239	G2c	MK532982.1|A2-GD2016|30-Dec-2016|China	30-Dec-2016	missing_or_unparseable_date
MK532989.1	Porcine epidemic diarrhea virus strain B9-GD2017 spike protein (S) gene, complete cds	G2cchinanew.txt	14	G2c	MK532989.1|B9-GD2017|17-Feb-2017|China	17-Feb-2017	missing_or_unparseable_date
MK532990.1	Porcine epidemic diarrhea virus strain C1-GD2017 spike protein (S) gene, complete cds	G2cchinanew.txt	535	G2c	MK532990.1|C1-GD2017|19-Feb-2017|China	19-Feb-2017	missing_or_unparseable_date
MK532991.1	Porcine epidemic diarrhea virus strain C2-HB2017 spike protein (S) gene, complete cds	G2cchinanew.txt	536	G2c	MK532991.1|C2-HB2017|19-Feb-2017|China	19-Feb-2017	missing_or_unparseable_date
MK532992.1	Porcine epidemic diarrhea virus strain E5-SN2017 spike protein (S) gene, complete cds	G2cchinanew.txt	101	G2c	MK532992.1|E5-SN2017|18-Mar-2017|China	18-Mar-2017	missing_or_unparseable_date
MK532993.1	Porcine epidemic diarrhea virus strain F14-HA2017 spike protein (S) gene, complete cds	G2cchinanew.txt	37	G2c	MK532993.1|F14-HA2017|26-May-2017|China	26-May-2017	missing_or_unparseable_date
MK532994.1	Porcine epidemic diarrhea virus strain H1-SD2017 spike protein (S) gene, complete cds	G2cchinanew.txt	498	G2c	MK532994.1|H1-SD2017|04-Sep-2017|China	04-Sep-2017	missing_or_unparseable_date
MK532995.1	Porcine epidemic diarrhea virus strain L1-HB2017 spike protein (S) gene, complete cds	G2cchinanew.txt	45	G2c	MK532995.1|L1-HB2017|20-Oct-2017|China	20-Oct-2017	missing_or_unparseable_date
MK532996.1	Porcine epidemic diarrhea virus strain M5-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	91	G2c	MK532996.1|M5-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK532997.1	Porcine epidemic diarrhea virus strain M6-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	92	G2c	MK532997.1|M6-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK532998.1	Porcine epidemic diarrhea virus strain M11-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	607	G2c	MK532998.1|M11-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK532999.1	Porcine epidemic diarrhea virus strain M12-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	609	G2c	MK532999.1|M12-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK533000.1	Porcine epidemic diarrhea virus strain M13-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	610	G2c	MK533000.1|M13-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK533001.1	Porcine epidemic diarrhea virus strain M16-SX2017 spike protein (S) gene, complete cds	G2cchinanew.txt	608	G2c	MK533001.1|M16-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK533003.1	Porcine epidemic diarrhea virus strain N12-GD2017 spike protein (S) gene, complete cds	G2cchinanew.txt	750	G2c	MK533003.1|N12-GD2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MK533005.1	Porcine epidemic diarrhea virus strain P13-HB2017 spike protein (S) gene, complete cds	G2cchinanew.txt	147	G2c	MK533005.1|P13-HB2017|15-Dec-2017|China	15-Dec-2017	missing_or_unparseable_date
MK533006.1	Porcine epidemic diarrhea virus strain PA4-GD2018 spike protein (S) gene, complete cds	G2cchinanew.txt	429	G2c	MK533006.1|PA4-GD2018|15-Jun-2018|China	15-Jun-2018	missing_or_unparseable_date
MK533007.1	Porcine epidemic diarrhea virus strain PB1-SD2018 spike protein (S) gene, complete cds	G2cchinanew.txt	426	G2c	MK533007.1|PB1-SD2018|29-Jun-2018|China	29-Jun-2018	missing_or_unparseable_date
MK533008.1	Porcine epidemic diarrhea virus strain Q2-AH2017 spike protein (S) gene, complete cds	G2cchinanew.txt	771	G2c	MK533008.1|Q2-AH2017|22-Dec-2017|China	22-Dec-2017	missing_or_unparseable_date
MK533009.1	Porcine epidemic diarrhea virus strain S2-GD2018 spike protein (S) gene, complete cds	G2cchinanew.txt	505	G2c	MK533009.1|S2-GD2018|23-Jan-2018|China	23-Jan-2018	missing_or_unparseable_date
MK533010.1	Porcine epidemic diarrhea virus strain V15-HB2018 spike protein (S) gene, complete cds	G2cchinanew.txt	88	G2c	MK533010.1|V15-HB2018|09-Mar-2018|China	09-Mar-2018	missing_or_unparseable_date
MK606369.1	Porcine epidemic diarrhea virus isolate CH-HB2-2018, complete genome	G2cchinanew.txt	102	G2c	MK606369.1|CH-HB2-2018|06-Aug-2018|China	06-Aug-2018	missing_or_unparseable_date
MK628688.1	Porcine epidemic diarrhea virus spike protein gene, complete cds	G2cchinanew.txt	65	G2c	MK628688.1|NA|26-Jan-2018|China	26-Jan-2018	missing_or_unparseable_date
MK644601.1	Porcine epidemic diarrhea virus isolate G2-HE2017, complete genome	G2cchinanew.txt	585	G2c	MK644601.1|G2-HE2017|01-Jun-2017|China	01-Jun-2017	missing_or_unparseable_date
MK644602.1	Porcine epidemic diarrhea virus isolate L6-HB2017, complete genome	G2cchinanew.txt	47	G2c	MK644602.1|L6-HB2017|20-Oct-2017|China	20-Oct-2017	missing_or_unparseable_date
MK644603.1	Porcine epidemic diarrhea virus isolate M3-SX2017, complete genome	G2cchinanew.txt	606	G2c	MK644603.1|M3-SX2017|27-Oct-2017|China	27-Oct-2017	missing_or_unparseable_date
MK644605.1	Porcine epidemic diarrhea virus isolate T10-HB2018, complete genome	G2cchinanew.txt	471	G2c	MK644605.1|T10-HB2018|02-Feb-2018|China	02-Feb-2018	missing_or_unparseable_date
MK656505.1	Porcine epidemic diarrhea virus strain JN1806-24 S protein gene, partial cds	G2cchinanew.txt	54	G2c	MK656505.1|JN1806-24|26-Jun-2018|China	26-Jun-2018	missing_or_unparseable_date
MK656506.1	Porcine epidemic diarrhea virus strain JN1806-28 S protein gene, partial cds	G2cchinanew.txt	767	G2c	MK656506.1|JN1806-28|27-Jun-2018|China	27-Jun-2018	missing_or_unparseable_date
MK656507.1	Porcine epidemic diarrhea virus strain JN1806-31 S protein gene, complete cds	G2cchinanew.txt	503	G2c	MK656507.1|JN1806-31|10-Jun-2018|China	10-Jun-2018	missing_or_unparseable_date
MN368665.1	Porcine epidemic diarrhea virus isolate FJzz15 spike protein (S) gene, complete cds	G2cchinanew.txt	64	G2c	MN368665.1|FJzz15|NA|China	N/A	missing_or_unparseable_date
MN368668.1	Porcine epidemic diarrhea virus isolate GDhy15 spike protein (S) gene, complete cds	G2cchinanew.txt	7	G2c	MN368668.1|GDhy15|NA|China	N/A	missing_or_unparseable_date
MN368669.1	Porcine epidemic diarrhea virus isolate GDhz15 spike protein (S) gene, complete cds	G2cchinanew.txt	6	G2c	MN368669.1|GDhz15|NA|China	N/A	missing_or_unparseable_date
MN368670.1	Porcine epidemic diarrhea virus isolate GDjm15 spike protein (S) gene, complete cds	G2cchinanew.txt	134	G2c	MN368670.1|GDjm15|NA|China	N/A	missing_or_unparseable_date
MN368672.1	Porcine epidemic diarrhea virus isolate GDsg15-1 spike protein (S) gene, complete cds	G2cchinanew.txt	8	G2c	MN368672.1|GDsg15-1|NA|China	N/A	missing_or_unparseable_date
MN368677.1	Porcine epidemic diarrhea virus isolate GDzq15-3 spike protein (S) gene, complete cds	G2cchinanew.txt	34	G2c	MN368677.1|GDzq15-3|NA|China	N/A	missing_or_unparseable_date
MN368678.1	Porcine epidemic diarrhea virus isolate GXnn15 spike protein (S) gene, complete cds	G2cchinanew.txt	5	G2c	MN368678.1|GXnn15|NA|China	N/A	missing_or_unparseable_date
MN368679.1	Porcine epidemic diarrhea virus isolate GZgy15 spike protein (S) gene, complete cds	G2cchinanew.txt	150	G2c	MN368679.1|GZgy15|NA|China	N/A	missing_or_unparseable_date
MN368681.1	Porcine epidemic diarrhea virus isolate JXgz15 spike protein (S) gene, complete cds	G2cchinanew.txt	66	G2c	MN368681.1|JXgz15|NA|China	N/A	missing_or_unparseable_date
MN368682.1	Porcine epidemic diarrhea virus isolate GDzq16 spike protein (S) gene, complete cds	G2cchinanew.txt	25	G2c	MN368682.1|GDzq16|NA|China	N/A	missing_or_unparseable_date
MN368683.1	Porcine epidemic diarrhea virus isolate FJqz16 spike protein (S) gene, complete cds	G2cchinanew.txt	527	G2c	MN368683.1|FJqz16|NA|China	N/A	missing_or_unparseable_date
MN368684.1	Porcine epidemic diarrhea virus isolate GDfs16 spike protein (S) gene, complete cds	G2cchinanew.txt	524	G2c	MN368684.1|GDfs16|NA|China	N/A	missing_or_unparseable_date
MN368685.1	Porcine epidemic diarrhea virus isolate GDhy16 spike protein (S) gene, complete cds	G2cchinanew.txt	26	G2c	MN368685.1|GDhy16|NA|China	N/A	missing_or_unparseable_date
MN368686.1	Porcine epidemic diarrhea virus isolate GDhz16 spike protein (S) gene, complete cds	G2cchinanew.txt	38	G2c	MN368686.1|GDhz16|NA|China	N/A	missing_or_unparseable_date
MN368687.1	Porcine epidemic diarrhea virus isolate GDjm16-1 spike protein (S) gene, complete cds	G2cchinanew.txt	595	G2c	MN368687.1|GDjm16-1|NA|China	N/A	missing_or_unparseable_date
MN368689.1	Porcine epidemic diarrhea virus isolate GDjx16 spike protein (S) gene, complete cds	G2cchinanew.txt	571	G2c	MN368689.1|GDjx16|NA|China	N/A	missing_or_unparseable_date
MN368690.1	Porcine epidemic diarrhea virus isolate GDsg16-1 spike protein (S) gene, complete cds	G2cchinanew.txt	526	G2c	MN368690.1|GDsg16-1|NA|China	N/A	missing_or_unparseable_date
MN368691.1	Porcine epidemic diarrhea virus isolate GDsg16-2 spike protein (S) gene, complete cds	G2cchinanew.txt	413	G2c	MN368691.1|GDsg16-2|NA|China	N/A	missing_or_unparseable_date
MN368692.1	Porcine epidemic diarrhea virus isolate GDyj16 spike protein (S) gene, complete cds	G2cchinanew.txt	39	G2c	MN368692.1|GDyj16|NA|China	N/A	missing_or_unparseable_date
MN368693.1	Porcine epidemic diarrhea virus isolate GDdg17 spike protein (S) gene, complete cds	G2cchinanew.txt	525	G2c	MN368693.1|GDdg17|NA|China	N/A	missing_or_unparseable_date
MN368695.1	Porcine epidemic diarrhea virus isolate FJfz17-1 spike protein (S) gene, complete cds	G2cchinanew.txt	56	G2c	MN368695.1|FJfz17-1|NA|China	N/A	missing_or_unparseable_date
MN368698.1	Porcine epidemic diarrhea virus isolate FJqz17-2 spike protein (S) gene, complete cds	G2cchinanew.txt	572	G2c	MN368698.1|FJqz17-2|NA|China	N/A	missing_or_unparseable_date
MN368699.1	Porcine epidemic diarrhea virus isolate GDhy17 spike protein (S) gene, complete cds	G2cchinanew.txt	564	G2c	MN368699.1|GDhy17|NA|China	N/A	missing_or_unparseable_date
MN368703.1	Porcine epidemic diarrhea virus isolate GDjm17-3 spike protein (S) gene, complete cds	G2cchinanew.txt	627	G2c	MN368703.1|GDjm17-3|NA|China	N/A	missing_or_unparseable_date
MN368704.1	Porcine epidemic diarrhea virus isolate GDmm17-1 spike protein (S) gene, complete cds	G2cchinanew.txt	566	G2c	MN368704.1|GDmm17-1|NA|China	N/A	missing_or_unparseable_date
MN368705.1	Porcine epidemic diarrhea virus isolate GDmm17-2 spike protein (S) gene, complete cds	G2cchinanew.txt	565	G2c	MN368705.1|GDmm17-2|NA|China	N/A	missing_or_unparseable_date
MN368707.1	Porcine epidemic diarrhea virus isolate HNcz17 spike protein (S) gene, complete cds	G2cchinanew.txt	211	G2c	MN368707.1|HNcz17|NA|China	N/A	missing_or_unparseable_date
MN368708.1	Porcine epidemic diarrhea virus isolate JXnc17 spike protein (S) gene, complete cds	G2cchinanew.txt	506	G2c	MN368708.1|JXnc17|NA|China	N/A	missing_or_unparseable_date
MN368709.1	Porcine epidemic diarrhea virus isolate SDbz18 spike protein (S) gene, complete cds	G2cchinanew.txt	302	G2c	MN368709.1|SDbz18|NA|China	N/A	missing_or_unparseable_date
MN368711.1	Porcine epidemic diarrhea virus isolate FJfz18-2 spike protein (S) gene, complete cds	G2cchinanew.txt	472	G2c	MN368711.1|FJfz18-2|NA|China	N/A	missing_or_unparseable_date
MN368712.1	Porcine epidemic diarrhea virus isolate FJqz18 spike protein (S) gene, complete cds	G2cchinanew.txt	253	G2c	MN368712.1|FJqz18|NA|China	N/A	missing_or_unparseable_date
MN368713.1	Porcine epidemic diarrhea virus isolate GDhy18-1 spike protein (S) gene, complete cds	G2cchinanew.txt	398	G2c	MN368713.1|GDhy18-1|NA|China	N/A	missing_or_unparseable_date
MN368714.1	Porcine epidemic diarrhea virus isolate GDhy18-2 spike protein (S) gene, complete cds	G2cchinanew.txt	397	G2c	MN368714.1|GDhy18-2|NA|China	N/A	missing_or_unparseable_date
MN368715.1	Porcine epidemic diarrhea virus isolate GDhy18-3 spike protein (S) gene, complete cds	G2cchinanew.txt	364	G2c	MN368715.1|GDhy18-3|NA|China	N/A	missing_or_unparseable_date
MN368716.1	Porcine epidemic diarrhea virus isolate GDhz18 spike protein (S) gene, complete cds	G2cchinanew.txt	303	G2c	MN368716.1|GDhz18|NA|China	N/A	missing_or_unparseable_date
MN368717.1	Porcine epidemic diarrhea virus isolate GDjm18-1 spike protein (S) gene, complete cds	G2cchinanew.txt	399	G2c	MN368717.1|GDjm18-1|NA|China	N/A	missing_or_unparseable_date
MN368719.1	Porcine epidemic diarrhea virus isolate GDmm18-1 spike protein (S) gene, complete cds	G2cchinanew.txt	400	G2c	MN368719.1|GDmm18-1|NA|China	N/A	missing_or_unparseable_date
MN368720.1	Porcine epidemic diarrhea virus isolate GDmm18-2 spike protein (S) gene, complete cds	G2cchinanew.txt	567	G2c	MN368720.1|GDmm18-2|NA|China	N/A	missing_or_unparseable_date
MN368721.1	Porcine epidemic diarrhea virus isolate GDsg18-1 spike protein (S) gene, complete cds	G2cchinanew.txt	382	G2c	MN368721.1|GDsg18-1|NA|China	N/A	missing_or_unparseable_date
MN368722.1	Porcine epidemic diarrhea virus isolate GDsg18-2 spike protein (S) gene, complete cds	G2cchinanew.txt	599	G2c	MN368722.1|GDsg18-2|NA|China	N/A	missing_or_unparseable_date
MN368723.1	Porcine epidemic diarrhea virus isolate GDst18 spike protein (S) gene, complete cds	G2cchinanew.txt	354	G2c	MN368723.1|GDst18|NA|China	N/A	missing_or_unparseable_date
MN368725.1	Porcine epidemic diarrhea virus isolate GDzj18-2 spike protein (S) gene, complete cds	G2cchinanew.txt	227	G2c	MN368725.1|GDzj18-2|NA|China	N/A	missing_or_unparseable_date
MN617858.1	Porcine epidemic diarrhea virus isolate CH/SCCD-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	736	G2c	MN617858.1|CH/SCCD-1/2018|25-Feb-2018|China	25-Feb-2018	missing_or_unparseable_date
MN617859.1	Porcine epidemic diarrhea virus isolate CH/SCCD-2/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	733	G2c	MN617859.1|CH/SCCD-2/2018|28-Feb-2018|China	28-Feb-2018	missing_or_unparseable_date
MN617860.1	Porcine epidemic diarrhea virus isolate CH/SCMS-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	739	G2c	MN617860.1|CH/SCMS-1/2018|19-Feb-2018|China	19-Feb-2018	missing_or_unparseable_date
MN617861.1	Porcine epidemic diarrhea virus isolate CH/SCZY-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	421	G2c	MN617861.1|CH/SCZY-1/2018|23-Mar-2018|China	23-Mar-2018	missing_or_unparseable_date
MN617862.1	Porcine epidemic diarrhea virus isolate CH/SCMY-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	763	G2c	MN617862.1|CH/SCMY-1/2018|03-Apr-2018|China	03-Apr-2018	missing_or_unparseable_date
MN617864.1	Porcine epidemic diarrhea virus isolate CH/SCLS-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	856	G2c	MN617864.1|CH/SCLS-1/2018|29-Apr-2018|China	29-Apr-2018	missing_or_unparseable_date
MN617865.1	Porcine epidemic diarrhea virus isolate CH/SCYB-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	734	G2c	MN617865.1|CH/SCYB-1/2018|14-Oct-2018|China	14-Oct-2018	missing_or_unparseable_date
MN617866.1	Porcine epidemic diarrhea virus isolate CH/SCQL-1/2018 spike protein (S) gene, complete cds	G2cchinanew.txt	738	G2c	MN617866.1|CH/SCQL-1/2018|18-Apr-2018|China	18-Apr-2018	missing_or_unparseable_date
