KX532182.1 Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN412558.1 Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds
MH726375.1 Porcine epidemic diarrhea virus isolate GDS19, complete genome
MW826595.1 Porcine epidemic diarrhea virus isolate LP/2017 spike protein (S) gene, complete cds
KY211075.1 Porcine epidemic diarrhea virus isolate ZMD12S spike protein gene, complete cds
KY007140.1 Porcine epidemic diarrhea virus isolate PEDV-LNsy, complete genome
MK093253.1 Porcine epidemic diarrhea virus isolate CH/HNXC spike protein gene, complete cds
OQ349206.1 Porcine epidemic diarrhea virus isolate FJ1402 spike protein (S) gene, complete cds
KF601195.1 Porcine epidemic diarrhea virus isolate GXLZ/2013 spike protein (S) gene, complete cds
KR296674.1 Porcine epidemic diarrhea virus strain CH-STC-12-2014 S protein (S) gene, complete cds
MK532986.1 Porcine epidemic diarrhea virus strain B6-HB2017 spike protein (S) gene, complete cds
PV890949.1 Porcine epidemic diarrhea virus isolate YN-KM 202505 spike protein gene, complete cds
KC196276.1 Porcine epidemic diarrhea virus strain CH/ZMDZY/11, complete genome
MH053414.1 Porcine epidemic diarrhea virus isolate CH/SCZJ/2017 spike protein (S) gene, complete cds
PV536111.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-XJCZ24-2024, partial genome
KU237218.1 Porcine epidemic diarrhea virus strain HY S protein (S) gene, complete cds
OR576822.1 Porcine epidemic diarrhea virus isolate CH/JS321/2022 spike protein (S) gene, complete cds
KC787537.1 Porcine epidemic diarrhea virus isolate CH-DLC-01-2013 spike protein gene, complete cds
KU237232.1 Porcine epidemic diarrhea virus strain YY S protein (S) gene, complete cds
KF840562.1 Porcine epidemic diarrhea virus isolate CH/JSZL-N2/2013 spike protein (S) gene, complete cds
KU133268.1 Porcine epidemic diarrhea virus isolate CH-SDZC-2012 spike protein (S) gene, complete cds
JX163294.1 Porcine epidemic diarrhea virus isolate HBMC2012 S protein (S) gene, complete cds
MN721372.1 Porcine epidemic diarrhea virus isolate CH-LN-CY27 spike protein gene, complete cds
KT388418.1 Porcine epidemic diarrhea virus isolate CH-LXC-2014 spike glycoprotein gene, complete cds
MN412562.1 Porcine epidemic diarrhea virus strain HN-XX1/2016 S protein (S) gene, complete cds
KJ646583.1 Porcine epidemic diarrhea virus strain FJ-LY 2012 spike protein (S) gene, complete cds
MW478770.1 Porcine epidemic diarrhea virus isolate GDsg11 spike protein (S) gene, complete cds
KY211066.1 Porcine epidemic diarrhea virus isolate ZMD2S spike protein gene, complete cds
KP399605.1 Porcine epidemic diarrhea virus strain CH-XLC-02-2014 S protein (S) gene, complete cds
MN612076.1 Porcine epidemic diarrhea virus strain CH-GD-ZQ01 spike protein gene, complete cds
OQ718863.1 Porcine epidemic diarrhea virus isolate CH-HeN27-2023 spike protein gene, complete cds
KP399609.1 Porcine epidemic diarrhea virus strain CH-JKC-07-2014 S protein (S) gene, complete cds
KU975420.1 Porcine epidemic diarrhea virus isolate CH-SCYA-1-2014 spike protein (S) gene, complete cds
KX532180.1 Porcine epidemic diarrhea virus strain CH_SXCH11_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
JX512907.1 Porcine epidemic diarrhea virus strain HLJ-2012 spike protein gene, complete cds
KM609203.1 Porcine epidemic diarrhea virus strain PEDV-1C, complete genome
MF038016.1 Porcine epidemic diarrhea virus isolate PED-JS-2015-12-1 spike glycoprotein (S) gene, complete cds
KU133242.1 Porcine epidemic diarrhea virus isolate CH-SDHZ-2-2013 spike protein (S) gene, complete cds
JX088695.1 Porcine epidemic diarrhea virus strain GD-B, complete genome
OP529824.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate GS2019-109, complete genome
OQ122109.1 Porcine epidemic diarrhea virus isolate HBQJ/2022 spike protein (S) gene, complete cds
PV523946.1 Porcine epidemic diarrhea virus isolate GX01-02-CN_2022 spike protein (S) gene, complete cds
MH053417.1 Porcine epidemic diarrhea virus isolate CH/SCQX2/2017 spike protein (S) gene, complete cds
KU133253.1 Porcine epidemic diarrhea virus isolate CH-SDLY-2-2013 spike protein (S) gene, complete cds
KY775037.1 Porcine epidemic diarrhea virus isolate HBJM3 spike protein (S) gene, complete cds
KY075787.1 Porcine epidemic diarrhea virus strain LNtL1/2015 S protein (S) gene, complete cds
KF738259.1 Porcine epidemic diarrhea virus strain JS130604 spike protein gene, complete cds
MK841495.1 Porcine epidemic diarrhea virus isolate PEDV YZ, complete genome
JN825709.1 Porcine epidemic diarrhea virus isolate HB-2011-3 spike protein (S) mRNA, complete cds
KF840556.1 Porcine epidemic diarrhea virus isolate CH/ZJJS-4X/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KJ646584.1 Porcine epidemic diarrhea virus strain FJ-LY 2013 spike protein (S) gene, complete cds
PP580806.1 Porcine epidemic diarrhea virus isolate SD-RZ2023 spike protein (S) gene, complete cds
MW826597.1 Porcine epidemic diarrhea virus isolate WF/2017 spike protein (S) gene, complete cds
KT989352.1 Porcine epidemic diarrhea virus isolate CH-HNZK-14.12 spike protein gene, complete cds
MZ712170.1 Porcine epidemic diarrhea virus strain PEDV-KB2013-130, complete genome
MN368663.1 Porcine epidemic diarrhea virus isolate FJly15 spike protein (S) gene, complete cds
KT239523.1 UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-2 spike protein-like gene, complete sequence
MN412564.1 Porcine epidemic diarrhea virus strain HN-XX3/2016 S protein (S) gene, complete cds
KM406182.1 Porcine epidemic diarrhea virus strain MX1405 S protein (S) gene, complete cds
JN825710.1 Porcine epidemic diarrhea virus isolate ZJ-2011-1 spike protein (S) mRNA, complete cds
KU133266.1 Porcine epidemic diarrhea virus isolate CH-SDYT-2012 spike protein (S) gene, complete cds
KU556284.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-109 S protein-like gene, complete sequence
JX501321.1 Porcine epidemic diarrhea virus isolate CH/TY/12 spike glycoprotein gene, complete cds
KX532181.1 Porcine epidemic diarrhea virus strain CH_SXHF18_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KU133243.1 Porcine epidemic diarrhea virus isolate CH-SDHZ-3-2013 spike protein (S) gene, complete cds
MN037494.1 Porcine epidemic diarrhea virus strain WHLL, complete genome
MK606368.1 Porcine epidemic diarrhea virus isolate CH-HB1-2018, complete genome
KY775043.1 Porcine epidemic diarrhea virus isolate HBXY4 spike protein (S) gene, complete cds
KR233256.1 Porcine epidemic diarrhea virus strain CH/NMG/BT S protein gene, complete cds
KP399603.1 Porcine epidemic diarrhea virus strain CH-YZC-02-2014 S protein (S) gene, complete cds
KF738261.1 Porcine epidemic diarrhea virus strain SD130502 spike protein gene, complete cds
KF840538.1 Porcine epidemic diarrhea virus isolate CH/ZJHY-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OP191700.1 Porcine epidemic diarrhea virus strain PEDV GD/HZ/2016, complete genome
KT989364.1 Porcine epidemic diarrhea virus isolate CH-HNHB-14.10 spike protein gene, complete cds
MW143081.1 Porcine epidemic diarrhea virus isolate JSS02, complete genome
MN412566.1 Porcine epidemic diarrhea virus strain HN-YY2/2018 S protein (S) gene, complete cds
OQ349217.1 Porcine epidemic diarrhea virus isolate FJ170524 spike protein (S) gene, complete cds
KP399622.1 Porcine epidemic diarrhea virus strain CH-LXC-02-2013 S protein (S) gene, complete cds
MT338517.1 Porcine epidemic diarrhea virus strain CH/HNXX/2016, complete genome
KM225239.1 Porcine epidemic diarrhea virus strain FJ63 spike protein (S) gene, complete cds
KF601201.1 Porcine epidemic diarrhea virus isolate GXNN/2013 spike protein (S) gene, complete cds
OQ349208.1 Porcine epidemic diarrhea virus isolate FJ1516 spike protein (S) gene, complete cds
KF840537.1 Porcine epidemic diarrhea virus isolate CH/ZJCX-1/2012, complete genome
MG198642.1 Porcine epidemic diarrhea virus isolate JSCZ1601 spike protein gene, complete cds
MK841494.1 Porcine epidemic diarrhea virus isolate PEDV SH, complete genome
KP399634.1 Porcine epidemic diarrhea virus strain CH-LCC-02-2011 S protein (S) gene, complete cds
MW143093.1 Porcine epidemic diarrhea virus isolate JSS15, complete genome
KF601200.1 Porcine epidemic diarrhea virus isolate GDEP/2013 spike protein (S) gene, complete cds
MG020555.1 Porcine epidemic diarrhea virus isolate CH-ZJQZ-2-2016 spike protein (S) gene, complete cds
MG198660.1 Porcine epidemic diarrhea virus isolate JSSQ1602 spike protein gene, complete cds
KC242898.1 Porcine epidemic diarrhea virus isolate HeN12-20122 spike protein gene, complete cds
MW143090.1 Porcine epidemic diarrhea virus isolate JSS11, complete genome
MN612075.1 Porcine epidemic diarrhea virus strain CH-FJ-SM01 spike protein gene, complete cds
KT948011.1 Porcine epidemic diarrhea virus isolate CH-CWC-2013 spike protein gene, partial cds
KP399618.1 Porcine epidemic diarrhea virus strain CH-SMC-03-2013 S protein (S) gene, complete cds
KU975414.1 Porcine epidemic diarrhea virus isolate CH-SCNC-1-2015 spike protein (S) gene, complete cds
MK656510.1 Porcine epidemic diarrhea virus strain QD1804-9 S protein gene, partial cds
PQ124000.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-HH S protein gene, complete cds
MN412569.1 Porcine epidemic diarrhea virus strain HN-XX/2016 S protein (S) gene, complete cds
KU975389.1 Porcine epidemic diarrhea virus strain CH/SCCD/2014, complete genome
KP399613.1 Porcine epidemic diarrhea virus strain CH-XNC-04-2013 S protein (S) gene, complete cds
KP698766.2 Porcine epidemic diarrhea virus isolate GD16 spike gene, complete cds
KT989366.1 Porcine epidemic diarrhea virus isolate CH-HNAY-14.7 spike protein gene, complete cds
MK656513.1 Porcine epidemic diarrhea virus strain QD1807-68 S protein gene, partial cds
MG546689.1 UNVERIFIED: Porcine epidemic diarrhea virus strain CH/HB9/2016 genomic sequence
JN825711.1 Porcine epidemic diarrhea virus isolate ZJ-2011-2 spike protein (S) mRNA, complete cds
KT313036.1 Porcine epidemic diarrhea virus isolate PEDV2-S-5 spike protein (S) gene, complete cds
MT547180.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c, complete genome
MH726380.1 Porcine epidemic diarrhea virus isolate GDS27, complete genome
KX073608.1 Porcine epidemic diarrhea virus isolate GZZY S protein (S) gene, complete cds
KT239515.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHMAS-1 spike protein-like gene, complete sequence
MN368673.1 Porcine epidemic diarrhea virus isolate GDsg15-2 spike protein (S) gene, complete cds
PV536108.1 Porcine epidemic diarrhea virus isolate PEDV-SXDD1-2023, partial genome
KP698754.2 Porcine epidemic diarrhea virus isolate GD4 spike gene, complete cds
KP399625.1 Porcine epidemic diarrhea virus strain CH-HFEC-08-2013 S protein (S) gene, complete cds
KF840541.1 Porcine epidemic diarrhea virus isolate CH/JXZS-3H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KJ646589.1 Porcine epidemic diarrhea virus strain FJ-QZ 2013 spike protein (S) gene, complete cds
KT989358.1 Porcine epidemic diarrhea virus isolate CH-HNXC-14.11 spike protein gene, complete cds
KC242903.1 Porcine epidemic diarrhea virus isolate ZJ17-20125 spike protein gene, complete cds
KU975413.1 Porcine epidemic diarrhea virus isolate CH-SCMY-4-2014 spike protein (S) gene, complete cds
PV036770.1 Porcine epidemic diarrhea virus isolate HLJ1, complete genome
MW561264.1 Porcine epidemic diarrhea virus strain CH/HLJ/18, complete genome
KY211064.1 Porcine epidemic diarrhea virus isolate XY8S nonfunctional spike protein gene, partial sequence
MN412565.1 Porcine epidemic diarrhea virus strain HN-YY1/2018 S protein (S) gene, complete cds
KM406184.1 Porcine epidemic diarrhea virus strain PJ1407 S protein (S) gene, complete cds
PP395588.1 Porcine epidemic diarrhea virus strain SC2022NJ spike protein (S) gene, complete cds
JX435303.1 Porcine epidemic diarrhea virus isolate HB-2012-2 spike protein (S) mRNA, complete cds
MH056658.1 Porcine epidemic diarrhea virus strain JSX2014, complete genome
KU133261.1 Porcine epidemic diarrhea virus isolate CH-SDQH-2014 spike protein (S) gene, complete cds
KU133239.1 Porcine epidemic diarrhea virus isolate CH-SDDY-2012 spike protein (S) gene, complete cds
MZ161047.1 Porcine epidemic diarrhea virus strain CH/HNZZ/06/2020 spike protein (S) gene, complete cds
OM948925.1 Porcine epidemic diarrhea virus isolate CH_SCDZ01_2020 spike protein (S) gene, complete cds
MG132634.1 Porcine epidemic diarrhea virus isolate HB1605 spike protein mRNA, complete cds
KT239522.1 UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-1 spike protein-like gene, complete sequence
KT239509.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-1 spike protein-like gene, complete sequence
PV523956.1 Porcine epidemic diarrhea virus isolate ZJ04-03-CN_2022 spike protein (S) gene, complete cds
MW478771.1 Porcine epidemic diarrhea virus isolate GDsg12 spike protein (S) gene, complete cds
PV523944.1 Porcine epidemic diarrhea virus isolate AH03-05-CN_2022 spike protein (S) gene, complete cds
JQ239436.1 Porcine epidemic diarrhea virus strain CH8 spike protein (S) gene, complete cds
PV523952.1 Porcine epidemic diarrhea virus isolate HuB03-07-CN_2021 spike protein (S) gene, complete cds
PF141447.1 KR 1020230109809-A/3: Attenuated Porcine Epidemic Diarrhea CKT-7N Virus and composition for Porcine Epidemic Diarrhea Vaccine comprising the same
KJ526096.1 Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome
OR090886.1 Porcine epidemic diarrhea virus isolate PEDV/CH/XY/2020, complete genome
KC242902.1 Porcine epidemic diarrhea virus isolate HB3-20123 spike protein gene, complete cds
MN721366.1 Porcine epidemic diarrhea virus isolate CH-NX-WZ spike protein gene, complete cds
KU558701.1 Porcine epidemic diarrhea virus isolate ZJU/G2/2013, complete genome
MH991839.1 Porcine epidemic diarrhea virus strain M9-HA2017 S protein (S) gene, complete cds
MH726365.1 Porcine epidemic diarrhea virus isolate GDS25, complete genome
KF577731.1 Porcine epidemic diarrhea virus isolate GDMZ/2013 spike protein (S) gene, complete cds
KT313039.1 Porcine epidemic diarrhea virus isolate PEDV1-S-4 spike protein (S) gene, complete cds
KJ646588.1 Porcine epidemic diarrhea virus strain FJ-QK 2013 spike protein (S) gene, complete cds
MW143088.1 Porcine epidemic diarrhea virus isolate JSS09, complete genome
OR365277.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR090885.1 Porcine epidemic diarrhea virus isolate PEDV/CH/XK/2020, complete genome
MN368664.1 Porcine epidemic diarrhea virus isolate FJqz15 spike protein (S) gene, complete cds
KT388419.1 Porcine epidemic diarrhea virus isolate CH-HSY-2013 spike glycoprotein gene, complete cds
